n,n,n,n,n,n,n,n,n,n,t,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1979.6,2117.8,2272.4,2470.3,2698.9,2866.3,3038.8,3195.1,3354.2,3500.8,3572.9,3691.8,3836.4,4054.4,NaN,4135.2,4338.5,NaN,4524.5,4675.3,4899.4,NaN,4981.8,5184.7,NaN,5373.7,5528.8,5729.9,5883.9,5999.2,6184.6,NaN,6383.8,6537.6,6692.4,NaN,6842.6,7054.2,7208.4,7362.3,7512.8,7627.8,NaN,7821.2,7969.2,8133.9,NaN,8282.3,8480.7,NaN,8681,8835.7,8996.5,NaN,9155.5,9365.5,9517.1,9673.1,9830.6,9950.8,10139,NaN,10341,10495,10655,NaN,10819,11044,11197,11344,11506,11643,NaN,11844,12007,12244,NaN,12329,12530,NaN,12732,12890,13046,NaN,13204,13420,13578,13728,13894,14038,NaN,14241,14407,14641,NaN,14728,14949,15117,15255,15445,NaN,15647,15808
2014.4,2154.3,2329.4,2516.4,2746.8,2922.5,3104.7,3267.5,3429.1,3534.9,3639.9,3780.9,3921,NaN,4099.8,4210.9,NaN,4472.8,4628,4757.7,NaN,4946.4,5057.6,NaN,5322,5469.3,5615.4,5811.2,5958.4,6096,NaN,6335.8,6487.5,6623.4,NaN,6805.8,6940.6,7124.7,7287.6,7438.6,7590.8,NaN,7762.4,7923.2,8057.4,NaN,8244.8,8377.4,NaN,8629.6,8780.3,8921.4,NaN,9114.3,9252,9436.6,9595.3,9755.3,9908.6,10051,NaN,10291,10443,10580,NaN,10772,10915,11113,11272,11426,11582,NaN,11795,11943,12092,NaN,12294,12407,NaN,12681,12837,12974,NaN,13165,13300,13495,13653,13805,13973,NaN,14191,14347,14493,NaN,14694,14805,15018,15194,15347,NaN,15597,15752,15893
