n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1986.5,2124.1,2274,2423.2,2561.9,2697.5,2831.9,2937.4,NaN,3115.3,3253.8,3457.2,NaN,3535,3719.3,NaN,3902.3,4040.7,4245.8,NaN,4325.8,4508.4,NaN,4697,4847.9,5056.1,NaN,5138.4,5323.2,NaN,5506.8,5649.3,5862.5,NaN,5943.4,6126.8,NaN,6312.5,6461.1,6654.4,6797.3,6900.3,7079.1,NaN,7268.5,7416.8,7628.3,NaN,7707.9,7910,8059.9,8180.6,8374.4,NaN,8564.5,8708.3,8933.3,NaN,9012.4,9203.6,NaN,9393,9548.6,9774.5,NaN,9857.1,10059,NaN,10252,10398,10610,NaN,10691,10892,NaN,11083,11229,11453,11594,11698,11883,NaN,12075,12246,12400,NaN,12565,12757,NaN,12949,13104,13372,13515,13621,13815,NaN,14009,14160
2016.7,2184.1,2344.8,2493.5,2633.3,2769.9,2900.1,NaN,3062,3215.3,3336.5,NaN,3504.7,3608.6,NaN,3860.4,4002.6,4123.2,NaN,4294.5,4403.9,NaN,4651.6,4794.6,4928.5,NaN,5104.9,5217.3,NaN,5464.8,5609.1,5729.2,NaN,5909.4,6024.8,NaN,6267.7,6411.7,6539.7,6730.1,6871.5,6978.3,NaN,7224.4,7367.2,7498.3,NaN,7678.8,7787.8,7981.9,8137,8268.2,NaN,8519.3,8666.2,8791.6,NaN,8982.9,9089.1,NaN,9348.1,9493.8,9628.8,NaN,9825.2,9934.7,NaN,10203,10354,10478,NaN,10661,10771,NaN,11033,11182,11314,11528,11666,11778,NaN,12030,12181,12326,NaN,12512,12652,NaN,12907,13049,13184,13441,13589,13703,NaN,13963,14116,14246
