n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2872.8,3001.9,3161.8,3312,3455.8,3603.8,3717,NaN,3902,4045.8,4254.8,NaN,4335.9,4521.8,NaN,4710.8,4852.6,5070.9,NaN,5154.7,5337.8,5486.2,5592.8,5768.6,NaN,5961.1,6109.9,6322.3,NaN,6405.2,6584.1,NaN,6776.5,6919.8,7110.8,7257.2,7365.7,7548.5,NaN,7741,7892.9,8109.9,NaN,8196.8,8379.4,8528.1,8634.2,8820.6,NaN,9013.4,9167.3,9425.5,9566.1,9672.1,9863.6,NaN,10059,10208,10421,10580,10684,10872,NaN,11070,11222,11441,NaN,11527,11711,NaN,11907,12071,12566,12705,12821,13005,NaN,13198,13349,13498,NaN,13650,13854,NaN,14053,14207
2912.4,3063.1,3236.3,3386.1,3528,3681.9,NaN,3845.2,4001.1,4128.4,NaN,4306.5,4408.8,NaN,4668.3,4812.2,4936.2,NaN,5123.4,5231.5,5414.8,5562.2,5669.9,NaN,5915.1,6061.6,6191.5,NaN,6373.4,6483.2,NaN,6731,6875.2,7006.4,7190.8,7329.9,7441.9,NaN,7694.3,7843.9,7980.1,NaN,8163,8276.1,8459.9,8601.2,8716,NaN,8969.4,9119,9252.3,9499.5,9642.2,9755.1,NaN,10014,10160,10294,10501,10654,10764,NaN,11022,11173,11312,NaN,11494,11607,NaN,11861,12011,12154,12637,12784,12925,NaN,13154,13303,13432,NaN,13614,13743,NaN,14008,14158,14291
