n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1786.2,1986.5,2190.1,2395.2,2561.2,2717.2,2852.1,3003.3,3156.8,3303.1,3417.5,NaN,3611,3758.8,3971.9,NaN,4052.3,4233.2,NaN,4425.9,4570.9,4788.6,NaN,4868.5,5057.6,NaN,5252,5397.3,5616,NaN,5696.3,5877.9,NaN,6071.6,6219.8,6440.7,NaN,6522.3,6696.6,6847.6,6959.1,7135.2,NaN,7330,7477.8,7699.1,NaN,7779.3,7969.8,NaN,8164.4,8320.5,8541.6,NaN,8623.5,8809.7,8965.4,9067.4,9258.2,NaN,9454.3,9602.4,9819.8,NaN,9915.6,10107,NaN,10301,10456,10665,10809,10914,11098,NaN,11294,11442,11597,NaN,11759,11968,NaN,12164,12319,12505,12668,12775,12987,13148,13269,13454,NaN,13650,13801,14008,NaN,14110,14321,14490,14608,14815,NaN,15011,15167,15381,15538,15652,15869,NaN,16072,16303,16464,16611,16747,NaN,16947,17097,17320,NaN,17410,17639,17799,17920,18124,NaN,18326,18482
1816.8,2030.7,2221.2,2438.8,2610.6,2762.5,2916.5,3080.7,3227.7,3380.5,NaN,3566.1,3715.9,3844,NaN,4023.5,4124.1,NaN,4377.8,4530.6,4655.3,NaN,4839.5,4941.6,NaN,5204.5,5355,5484,NaN,5666.9,5771.9,NaN,6023.3,6174.1,6303,NaN,6492.1,6596.1,6774.5,6920.5,7028.8,NaN,7283.4,7434.1,7562.2,NaN,7748.2,7853.4,NaN,8118.6,8269.6,8404.5,NaN,8592.1,8703.3,8886.4,9036.7,9142,NaN,9408.9,9557.9,9686.9,NaN,9880.9,9994.8,NaN,10257,10408,10540,10741,10882,10987,NaN,11250,11400,11528,NaN,11717,11853,NaN,12117,12265,12401,12581,12740,12849,13062,13226,13368,NaN,13607,13755,13886,NaN,14075,14191,14400,14565,14704,NaN,14968,15118,15252,15453,15615,15746,NaN,16021,16165,16378,16542,16694,NaN,16903,17054,17182,NaN,17375,17491,17706,17875,18016,NaN,18279,18433,18569
