n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l
3577.4,3735.4,3882.8,4021.6,4162.4,4300.9,4435.4,4539.8,NaN,4720.9,4858.9,5064.3,NaN,5141.9,5326.7,NaN,5512.8,5652,5848.8,NaN,5940.1,6121.8,NaN,6309.1,6451.2,6662.5,NaN,6741.9,6920.8,NaN,7111,7255.3,7466.8,NaN,7549,7742.4,NaN,7927.8,8070.3,8266.6,NaN,8359.5,8543.9,NaN,8734.6,8886.5,9098.2,NaN,9185.6,9360.1,9506.4,9609.9,9794.6,NaN,9982.3,10124,10342,NaN,10420,10617,NaN,10808,10954,11175,11317,11418,11605,NaN,11796,11947,12158,12300,12399,12583,NaN,12777,12930,13142,NaN,13224,13417,NaN,13613,13763,14062,14203,14307,14491,NaN,14680,14827,15039,NaN,15121,15307,NaN,15500,15656,15886,16037,16147,16338,NaN,16535,16690,16893,NaN,16987,17177,NaN,17370,17531,17756,17903,18011,18201,NaN,18394,18547,18775,NaN,18859,19078,19226,19379,19531,19646,NaN,19840,19988,20143,NaN,20305,20512,NaN,20710
3609.5,3790.7,3949.1,4095.6,4237.3,4376.7,4509.9,NaN,4671.9,4821.6,4941.2,NaN,5112.6,5217.8,NaN,5470.4,5611.3,5733.8,NaN,5911.7,6016.9,NaN,6265.2,6408.9,6531.8,NaN,6711.8,6820.4,NaN,7065.2,7210.8,7340.2,NaN,7516.2,7631.4,NaN,7886.5,8034.6,8156.1,NaN,8331.2,8436.4,NaN,8687.8,8835.3,8967.8,NaN,9151.4,9258.9,9437.2,9576.2,9683.7,NaN,9935.6,10083,10205,NaN,10394,10495,NaN,10762,10916,11038,11249,11381,11498,NaN,11754,11905,12031,12229,12368,12478,NaN,12731,12879,13014,NaN,13193,13307,NaN,13566,13717,13848,14137,14276,14388,NaN,14639,14777,14910,NaN,15088,15200,NaN,15456,15601,15739,15956,16111,16241,NaN,16487,16640,16775,NaN,16957,17067,NaN,17329,17453,17614,17836,17977,18095,NaN,18349,18498,18634,NaN,18826,18933,19143,19300,19454,19612,NaN,19783,19944,20071,NaN,20261,20400,NaN,20659,20793
