n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1993.2,2150.5,2301.3,2434.1,2574.4,2719.5,2865.7,2979.2,NaN,3170.3,3312.5,3521.6,NaN,3598.7,3779.7,NaN,3974.1,4119.6,4340.9,NaN,4422.9,4614.6,NaN,4808.9,4954.2,5171.9,NaN,5255.9,5439.6,5586.4,5694.7,5874.8,NaN,6071.9,6224.8,6441.6,NaN,6526,6722.5,NaN,6917.6,7086.8,7299.8,NaN,7379.5,7595,7741.2,7861.4,8047.8,NaN,8247.2,8410.9,8612.2,NaN,8718.7,8961.4,9111.5,9254.7,9373.7,NaN,9570,9735.4,9955.2,NaN,10037,10243,NaN,10442,10608,10772,NaN,10921,11159,11302,11411,11600,NaN,11800,11958
2028.8,2205.1,2346,2497.5,2647.3,2794.8,2941.2,NaN,3124.1,3257.5,3393.3,NaN,3572.5,3666.4,NaN,3926.2,4057.4,4198,NaN,4389.2,4494.2,NaN,4759.8,4897.5,5035.8,NaN,5221.7,5325.8,5512.4,5659.1,5778.4,NaN,6021.2,6172.1,6309.7,NaN,6490.2,6597.3,NaN,6870,7011.4,7166.8,NaN,7347.3,7450.4,7660.2,7815.7,7950.4,NaN,8196.5,8339.5,8492.5,NaN,8677.9,8807.6,9023.3,9182.1,9331.8,NaN,9522,9665.2,9815.5,NaN,10007,10110,NaN,10391,10539,10689,NaN,10881,11020,11218,11373,11502,NaN,11754,11888,12041
