d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3381.6,NaN,3524.5,3661.5,3808.8,3956.9,4091.8,4237.3,4344.2,NaN,4523,4663,4857.1,NaN,4950.8,5137.1,NaN,5324.6,5465.4,5655.5,NaN,5761.3,5939.1,NaN,6128.4,6271.9,6464.3,NaN,6562.6,6753.3,NaN,6945.1,7091.1,7305.4,NaN,7386.3,7567.2,7708.3,7813.4,7991.4,NaN,8181.7,8324.8,8539.2,NaN,8621.1,8807.8,NaN,8998.2,9140.8,9304.1,9447.9,9559.7,9740.9,NaN,9931.2,10079,10277,NaN,10373,10556,NaN,10745,10896,11088,NaN,11192,11389,NaN,11582,11733,11934,12078,12185,12376,NaN,12565,12711,12905,NaN,13011,13202,NaN,13395,13553,13849,13992,14101,14283,NaN,14476,14622,14847,NaN,14930,15134,NaN,15328,15480,15665,15818,15923,16123,NaN,16315,16475,16676,NaN,16779,16973,NaN,17170,17330,17780,17922,18063,18191,NaN,18385,18544,18757,NaN,18842,19079,NaN,19264,19414,19618,NaN,19720,19903,NaN,20098,20255,20454,NaN,20553,20764,20916,21038,21214,NaN,21480,21620,21834,NaN,21919,22112,NaN,22308,22469
NaN,3417.7,3558.6,3727.7,3884,4032.3,4168.2,4304.7,NaN,4470.5,4622.2,4745.2,NaN,4921,5025.3,NaN,5280.7,5424.8,5548.7,NaN,5731.9,5834.7,NaN,6087.9,6229.6,6354.4,NaN,6533.8,6637.5,NaN,6898.5,7048.6,7173.2,NaN,7353.9,7460.4,7641.3,7780.5,7887.1,NaN,8135.8,8283.7,8408.7,NaN,8592.8,8697.8,NaN,8954.1,9100.5,9226.1,9383.5,9522.1,9633.8,NaN,9888.5,10039,10161,NaN,10344,10449,NaN,10700,10849,10981,NaN,11163,11272,NaN,11536,11684,11818,12012,12146,12255,NaN,12523,12667,12800,NaN,12980,13086,NaN,13347,13499,13639,13925,14066,14187,NaN,14431,14583,14705,NaN,14896,15004,NaN,15280,15432,15566,15742,15891,15998,NaN,16269,16420,16561,NaN,16746,16863,NaN,17126,17272,17413,17851,17997,18142,NaN,18342,18492,18630,NaN,18811,18925,NaN,19221,19366,19502,NaN,19690,19803,NaN,20052,20202,20338,NaN,20521,20670,20835,20992,21127,NaN,21368,21569,21705,NaN,21884,21994,NaN,22263,22404,22550
