n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2194.6,2361.4,2526.1,2679.2,2826.2,2967.5,3112.9,3231.6,NaN,3415.7,3557.5,3769.5,NaN,3852.5,4033.9,NaN,4225.2,4373.5,4588,NaN,4668.7,4841.4,5002.6,5113.1,5295,NaN,5492.4,5643,5862.2,NaN,5960.5,6149.5,NaN,6346.4,6501.6,6718,NaN,6804.2,7011.3,NaN,7207.2,7363.9,7587.3,NaN,7673.9,7873.2,8028.1,8136.8,8322.1,NaN,8518.4,8672.1,8903.1,9051.2,9155.6,9342.8,NaN,9542.2,9697
2227.5,2417,2585.1,2748.8,2902.5,3043.8,3190.1,NaN,3360.6,3515.3,3640.1,NaN,3819,3917.8,NaN,4178.7,4325.9,4457.8,NaN,4635.1,4745.1,4919.8,5077.3,5185.7,NaN,5443.2,5598.6,5729.2,NaN,5927.7,6036.1,NaN,6298.9,6450.5,6582.4,NaN,6768.8,6880.5,NaN,7158.6,7313.3,7447.9,NaN,7638.3,7747.7,7949.6,8101.3,8207.5,NaN,8471.5,8627.8,8755.6,8977,9118.5,9236,NaN,9496.4,9644.6,9784.2
