n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2297.6,2456.8,2598.1,2741.2,2878.8,3015.8,3118.8,NaN,3303.2,3440.9,3648.9,NaN,3726.6,3911,NaN,4096.9,4233.5,4429.8,NaN,4531.1,4705.8,NaN,4894,5035.1,5212,5355.3,5459.8,5640.3,NaN,5828.7,5970.2,6178.8,NaN,6258.7,6447.1,NaN,6634.3,6774.6,6985.7,NaN,7065.3,7253.1,NaN,7439.4,7585.5,7802.7,7945.6,8049.9,8226.4,NaN,8416.3,8561.3,8762.1,NaN,8856.9,9045.3,NaN,9234.2,9380.8,9532.5,NaN,9679.7,9867.1,NaN,10058,10206,10433,10576,10682,10868,NaN,11059,11206,11359,NaN,11508,11692,11839,11985,12105,NaN,12296,12446,12648,NaN,12745,12936,NaN,13131,13280,13490,13637,13744,13933,NaN,14123,14272,14617,14767,14912,15061,15193,NaN,15386,15535,15730,NaN,15831,16022,NaN,16216,16369
2355.6,2527.2,2673.2,2816.4,2952.7,3090.7,NaN,3251.6,3399.8,3524.3,NaN,3695.3,3803.2,NaN,4054.5,4196.5,4317.3,NaN,4498.9,4612,NaN,4847.8,4990.4,5121,5283,5427.9,5541.7,NaN,5782.8,5922.5,6051.5,NaN,6225.7,6339.2,NaN,6588.3,6731.4,6853.9,NaN,7034.8,7143.7,NaN,7393.2,7545.2,7668.5,7882.8,8013.2,8128.8,NaN,8371.3,8519.5,8647.4,NaN,8825,8933.9,NaN,9188.6,9329.1,9463.2,NaN,9642.2,9778.8,NaN,10015,10159,10292,10509,10643,10764,NaN,11016,11160,11289,NaN,11472,11605,11768,11914,12062,NaN,12255,12401,12527,NaN,12710,12828,NaN,13084,13221,13364,13565,13711,13825,NaN,14080,14231,14355,14689,14841,14987,15135,NaN,15344,15487,15620,NaN,15800,15917,NaN,16173,16314,16452
