l,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n
1882.1,1987.3,3207.2,3322.3,3489.7,3689.8,3850.2,4040,4213,4350.5,4491.9,4631,4772.3,4879.1,NaN,5063.7,5201.6,5407.9,NaN,5488.1,5667.9,NaN,5853.7,5993.5,6201.9,NaN,6279.7,6461.1,6604.8,6708.1,6882.6,NaN,7071.5,7217,7425.1,NaN,7508,7697.4,7844.3,7947.1,8132.3,NaN,8313.6,8458.1,8608.5
1915.6,2304.3,3243.1,3383.6,3543.5,3733.7,3888.7,4088.3,4273.2,4422.1,4566.8,4707.4,4844,NaN,5012.1,5162.6,5285.8,NaN,5454.3,5551.7,NaN,5812.1,5956.1,6074.5,NaN,6250,6345.9,6534.4,6674.5,6776.8,NaN,7027,7176,7301.5,NaN,7472.4,7577.9,7775.5,7916.5,8013.9,NaN,8271,8421.3,8539.7,8725.6
