n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2113.4,2281.4,2430.6,2576.1,2724.5,2870.3,2985.5,NaN,3169.7,3312.2,3528.9,NaN,3608.9,3790.3,NaN,3981.5,4128.4,4346.2,NaN,4427.6,4616.2,NaN,4806.6,4953.7,5173.9,NaN,5254.5,5440.2,5591.8,5699.1,5879.6,NaN,6073.4,6222.1,6441.1,NaN,6520,6710.4,NaN,6903.6,7052.2,7272.3,NaN,7353.3,7546.9,7706.4,7819.3,8005.2,NaN,8201.2,8348.2,8568.5,NaN,8651.8,8836.9,NaN,9032,9186.5,9389.4,9537.6,9653.2,9844.3,NaN,10040,10195,10419,NaN,10502,10713,NaN,10901,11052,11250,11402,11515,11715,NaN,11913,12068,12236,NaN,12391,12601,12762,12914,13067,13170,NaN,13368,13523,13746,NaN,13833,14047,NaN,14245,14406
2165.3,2340.6,2501.8,2651.8,2797.8,2939.6,NaN,3110.9,3270.7,3401.4,NaN,3575.2,3678.3,NaN,3938.8,4083.4,4215.5,NaN,4397.9,4503.2,NaN,4761.4,4909.8,5039.4,NaN,5222.8,5328.6,5515.4,5663.3,5766.5,NaN,6029,6185,6306.6,NaN,6487.2,6595.1,NaN,6858.2,7011.2,7137.5,NaN,7319.2,7429,7623.2,7779.2,7914.4,NaN,8151.9,8305,8435.2,NaN,8616.9,8724.1,NaN,8990,9135.1,9272.4,9467.6,9612.9,9749.2,NaN,9995,10151,10280,NaN,10467,10576,NaN,10854,11006,11138,11326,11476,11615,NaN,11870,12020,12157,NaN,12355,12488,12672,12837,12988,13139,NaN,13308,13480,13611,NaN,13799,13910,NaN,14196,14323,14499
