n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1642.9,1849,1992.5,2157,2363.8,2537.3,2708.1,2857.1,3005.3,3151.7,NaN,3336.5,3483,3697.8,NaN,3779.2,3964.2,NaN,4162,4319.8,4539.1,NaN,4621.6,4829.9,NaN,5020.5,5165.7,5384.2,NaN,5468,5667.6,5813.2,5927.5,6114.1,NaN,6312.1,6468.5,6679.2,6836,6942.2,7140.4,NaN,7336.3,7487.1,7717.3,7878.3,7993.4,8221.2,8401,8553.7,8680.3,NaN,8870.4,9047,9267.4,NaN,9348.3,9559.6,NaN,9761.6,9926.9,10148,NaN,10231,10476,10627,10739,10931,NaN,11131,11280,11501,NaN,11585,11793,NaN,11996,12148
1674.7,1899.4,2053.8,2216.9,2413.7,2592.3,2780.4,2935.3,3084.7,NaN,3274.2,3424.3,3562.6,NaN,3746,3851.9,NaN,4111.1,4253,4399.8,NaN,4587.4,4690.8,NaN,4963.5,5104.8,5247.3,NaN,5433.2,5538.5,5741.1,5887.4,6016.1,NaN,6258.6,6394.7,6550.3,6754.7,6906.1,7011.2,NaN,7288.4,7422.3,7570,7789.8,7951.3,8081.1,8288.7,8478.7,8628.2,NaN,8821.6,8962.6,9127.2,NaN,9319,9419.4,NaN,9715.3,9861,10006,NaN,10198,10297,10539,10700,10827,NaN,11079,11226,11362,NaN,11551,11662,NaN,11944,12091,12232
