n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2768.6,2904.3,3029.4,3168.3,3289.9,3446.2,3591.8,3703.4,NaN,3890.4,4027.6,4237,NaN,4322,4497.8,NaN,4690.9,4836.9,5049.5,NaN,5129.5,5320.2,NaN,5512.7,5656.3,5873.1,NaN,5953.9,6141.4,NaN,6332.8,6482,6698.2,NaN,6780.8,6962.6,7106,7215.2,7396.2,NaN,7587.2,7733.4,7922.8,8065.3,8172.8,8363.4,NaN,8554,8702.7,8922.8,NaN,9005,9196.2,NaN,9390.9,9538.8,9754.1,NaN,9836.2,10033,NaN,10228,10383,10605,10752,10858,11051,NaN,11245,11398,11617,NaN,11697,11908,12056,12203,12309,NaN,12505,12655,12874,NaN,12957,13152,13303,13420,13623,NaN,13818,13974,14141,NaN,14304,14504,NaN,14704,14856,15081,NaN,15168,15372,NaN,15570,15754,15924,16078,16187,16418,16575,16722,16834,17032,NaN,17236,17388,17612,NaN,17698,17899,NaN,18099,18274,18494,18657,18766,18994,19172,19324,19475,19635,19788,19929,NaN,20128,20283,20503,NaN,20587,20790,NaN,20993,21153
2817.8,2949.7,3093.1,3229.8,3351.5,3518.2,3662.2,NaN,3837.7,3967.4,4112.1,NaN,4286.1,4384.2,NaN,4641.8,4780.5,4916.7,NaN,5098.7,5202.2,NaN,5463.3,5595.2,5739.8,NaN,5920.1,6021.2,NaN,6287.3,6420,6564.2,NaN,6746.3,6852.2,7032.5,7180.4,7283.6,NaN,7538.5,7678.2,7815.8,7994.9,8135.3,8265.4,NaN,8508.9,8639.1,8782.9,NaN,8970.4,9077.3,NaN,9341.9,9487.1,9620.3,NaN,9802.1,9910.1,NaN,10176,10325,10464,10705,10823,10935,NaN,11199,11350,11484,NaN,11667,11774,11979,12135,12275,NaN,12446,12602,12740,NaN,12923,13033,13226,13377,13510,NaN,13772,13925,14060,NaN,14254,14394,NaN,14654,14804,14943,NaN,15132,15248,NaN,15518,15653,15828,16000,16152,16258,16487,16654,16797,16932,NaN,17185,17335,17473,NaN,17664,17770,NaN,18049,18197,18355,18569,18733,18839,19050,19242,19397,19552,19711,19867,NaN,20080,20228,20366,NaN,20555,20660,NaN,20945,21091,21237
