n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g
1788.3,1963.7,2852.2,2986.2,3147.8,3305,3459,3607.3,3755.4,3908.7,NaN,4094.1,4242,4463.1,NaN,4583.9,4743.1,NaN,4940,5096.4,5260.1,NaN,7987.8,8151.8,8301.6,8454.6,8600.8,8748.4,8866.7,NaN,9049.6,9200.1,9358.3,NaN,9516.5,9712.4,NaN,9910.3,10060,10216,NaN,10374,10584,NaN,10776,10927,11151,NaN,11231,11437,NaN,11638,11792,11960,NaN,12110,12315,NaN,12515,12673,12831,NaN,13089,13248,13390,13542,13668,NaN,13860,14031,14195,NaN,14352,14557,NaN,14762,14927,15172,NaN,15300,15489,15648,15784,15977,NaN,16182,16352,16515,NaN
1823.4,2009.2,2882.4,3045.2,3215.4,3379,3532.2,3677.6,3829.5,NaN,4043.7,4189.1,4329.2,NaN,4514.6,4620.6,NaN,4889.3,5043.9,5180.3,NaN,5378.9,8034.5,8215.3,8374.7,8529.6,8679.5,8825.8,NaN,8993.9,9152.7,9283.6,NaN,9476.9,9610.4,NaN,9863.1,10014,10149,NaN,10333,10460,NaN,10719,10870,11010,NaN,11202,11312,NaN,11588,11744,11881,NaN,12067,12198,NaN,12466,12618,12759,NaN,12951,13159,13326,13470,13622,NaN,13809,13964,14113,NaN,14312,14444,NaN,14709,14861,15012,NaN,15222,15339,15554,15720,15870,NaN,16128,16285,16438,NaN,16635
