n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
3240.9,3437.2,3832.8,3974,4128.4,4270.4,4384,NaN,4569,4711.9,4925.2,NaN,5006.8,5237.4,5385.4,5495.6,5684.6,NaN,5881,6028.3,6243.8,NaN,6323.4,6517.8,NaN,6716.2,6868,7083.8,NaN,7169.8,7366.4,7522.3,7629.9,7825.4,NaN,8017.8,8167.3,8393.8,NaN,8475.7,8669.4,NaN,8866.3,9017.1,9177.6,NaN,9323.6,9521.8,9675,9777.6,9986,NaN,10195,10372,10547,10714,10838,11039,NaN,11238,11389,11572,NaN,11717,11983,12153,12288,12411,NaN,12606,12764,12929,13175,13329,13449,13637,NaN,13836,13996,14218,NaN,14324,14517,NaN,14718,14881,15102,NaN,15187,15413
3302.2,3483.2,3894.2,4052.3,4201.2,4344.2,NaN,4517.5,4659.5,4795.4,NaN,4974.4,5076,5303.6,5458,5584.3,NaN,5830.8,5972.2,6112.2,NaN,6292.9,6395,NaN,6665.8,6797.7,6946.7,NaN,7135.9,7241,7440.7,7593.4,7723.3,NaN,7974.3,8116.7,8251.1,NaN,8444.1,8548.3,NaN,8811.6,8950.8,9097.5,NaN,9283,9409.3,9595.3,9748.7,9849,NaN,10142,10286,10453,10622,10787,10930,NaN,11190,11322,11473,NaN,11680,11811,12047,12230,12362,NaN,12559,12702,12847,13040,13243,13403,13540,NaN,13782,13920,14078,NaN,14270,14414,NaN,14664,14808,14964,NaN,15153,15258,15466
