n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,a,b,l,e,n,n,f,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2286.3,2423.1,2570.8,2718.3,2864.4,2980.8,NaN,3161.8,3303.4,3510,NaN,3590.9,3776,NaN,3962.1,4107.7,4318.1,NaN,4400.1,4604.1,NaN,4786.5,4932,5149.5,NaN,5228.3,5412.1,5566.4,5674.4,5856.7,NaN,6046.4,6191.8,6405.8,NaN,6485.6,6684.4,NaN,6870.2,7017.4,7233.3,NaN,7314.9,7525.2,7621.8,NaN,7811,7960.7,8184.3,8331.9,8432.8,8615.1,NaN,8806.7,9057.9,9200.8,9346.6,9454.7,NaN,9646.1,9788.8,10011,NaN,10094,10278,NaN,10476,10626,10847,11003,11108,11296,NaN,11490,11639,11859,NaN,11943,12136,NaN,12328,12483,12703,12853,12958,13158,NaN,13355,13509,13826,13959,14067,14260,NaN,14457,14616,14857,NaN,14938,15131,NaN,15326,15479,15632,NaN,15791,16015,16164,16275,16489,NaN,16677,16833
2318.7,2479.9,2639.9,2792.3,2939,NaN,3117.7,3254.1,3382.3,NaN,3558,3665.1,NaN,3919.8,4060.9,4190.7,NaN,4366,4476.4,NaN,4741.2,4887,5013.6,NaN,5196.1,5300.5,5487.9,5636.8,5763.7,NaN,6001.5,6148.2,6274.3,NaN,6454,6555.2,NaN,6822.9,6969.4,7097.7,NaN,7280.4,7392.4,7563.8,NaN,7763,7915.8,8046.3,8262.8,8403.9,8514.2,NaN,8758.4,8867.5,9125,9279.2,9419.4,NaN,9588.3,9752.1,9872.3,NaN,10060,10171,NaN,10429,10578,10709,10927,11074,11184,NaN,11444,11597,11723,NaN,11910,12026,NaN,12280,12427,12569,12781,12924,13041,NaN,13309,13452,13594,13889,14031,14144,NaN,14409,14555,14697,NaN,14907,15012,NaN,15279,15424,15563,NaN,15747,15884,16082,16238,16368,NaN,16632,16776,16917
