n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n
2811.6,2970.8,3127.7,3568.4,3748.8,3897.8,4047.4,4190.3,4329.4,NaN,4512.2,4654.3,4870.6,NaN,4948.7,5133.2,NaN,5327.2,5475,5680.9,NaN,5773.6,5961.3,NaN,6156.6,6308,6474.3,6641.7,6898.7,7060.6,7214.1,7361.8,7456.3,NaN,7648,7799.3,8017.4,NaN,8101.1,8295.9,NaN,8487.3,8636.5,8851.7,NaN,8934.3,9110.8,9265.3,9374.5,9560.9,NaN,9756.5,9905.7,10130,NaN,10210,10397,NaN,10586,10736,10908,11058,11168,11356,NaN,11552,11704,11931,NaN,12015,12209,NaN,12410,12560,12760
2865,3023.1,3174.8,3618.4,3808.9,3968.3,4113.1,4263,NaN,4468.8,4613,4742.5,NaN,4917.1,5020.5,NaN,5279,5428.7,5559.9,NaN,5745.8,5853.7,NaN,6112.4,6260.1,6392.1,6548.1,6713,6966.3,7138.2,7291.9,7426,NaN,7594.2,7752.1,7885.4,NaN,8069.5,8185.5,NaN,8442.8,8592.4,8722,NaN,8901.6,9010.6,9191.5,9338.4,9473.8,NaN,9709,9860.9,9993.1,NaN,10180,10288,NaN,10543,10691,10820,10986,11134,11256,NaN,11506,11655,11790,NaN,11981,12099,NaN,12362,12513,12652,12833
