n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1791.6,1960.4,2148.7,2348.1,2736.9,2882.8,3050.7,3204.6,3352.5,NaN,3541.3,3693.3,3911.3,NaN,3993.7,4184,NaN,4384.8,4542.6,4769.9,NaN,4856,5040.6,5199.2,5311,5491.4,NaN,5692.9,5847.5,6098.5,NaN,6182.5,6384.7,NaN,6585.7,6740.8,6903,NaN,7078.3,7277.2,7433.8,7585.5,7737.1,7858.7,NaN,8052,8212.5,8374,NaN,8535.6,8763.4,8925.6,9096.3,9253.8,9379.5,NaN,9581.5,9735,9896.2,NaN,10056,10258,NaN,10463,10618,10850,NaN,10939,11139,11308,11433,11632,NaN,11834,11988,12161,NaN,12313,12522,NaN,12725,12890,13158,13311,13424,13624,NaN,13827,13998,14161,NaN,14449,14608,14764,14907,NaN,15102,15265,15430,NaN,15601,15802,NaN,16004,16161,16327,NaN,16611,16774,16899,17113,NaN,17308,17489,17650,NaN,17796,18042,18200,18332,18532,NaN,18738,18900
1830.2,2021.5,2197.9,2396.3,2794.3,2956.7,3128.4,3282.5,NaN,3490.9,3643.2,3777,NaN,3961.3,4067,NaN,4335.2,4487.8,4626.2,NaN,4824,4933.7,5118.4,5273.6,5407.3,NaN,5639.4,5794.9,5934.2,NaN,6152.2,6259.5,NaN,6537.6,6687.8,6824.4,NaN,7027,7164.4,7351.7,7513.2,7666.8,7818.6,NaN,7986.1,8157.3,8301.3,NaN,8496.4,8633.9,8836.4,9005.7,9177.1,9336.4,NaN,9532.9,9686.6,9821.1,NaN,10018,10155,NaN,10410,10559,10706,NaN,10904,11010,11217,11383,11527,NaN,11786,11938,12082,NaN,12278,12413,NaN,12673,12824,12978,13230,13388,13521,NaN,13777,13929,14084,NaN,14283,14519,14690,14844,NaN,15056,15212,15350,NaN,15552,15697,NaN,15951,16112,16251,NaN,16450,16662,16856,16989,NaN,17262,17383,17568,NaN,17770,17921,18112,18277,18426,NaN,18684,18842,18986
