n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2449.7,2593.7,2737.9,2883.6,3027.8,3175.6,3290.8,NaN,3478.1,3617.7,3829.1,NaN,3909.6,4093.2,NaN,4281.8,4422.4,4645.3,NaN,4724.4,4907.2,NaN,5095.5,5242.7,5461.6,NaN,5543.3,5719.6,NaN,5910.3,6059.2,6264.2,NaN,6360.1,6547.4,NaN,6739.8,6885,7100.5,NaN,7183.3,7367.6,NaN,7560.5,7703.3,7909.2,NaN,8005.9,8195.6,NaN,8390.3,8540,8728.5,8875.5,8984.9,9167.8,NaN,9361.3,9508,9710.8,NaN,9806.3,9992.1,NaN,10186,10337,10525,10674,10781,10983,NaN,11176,11322,11535,NaN,11615,11815,NaN,12010,12163,12361,NaN,12467,12667,NaN,12871,13036,13236,NaN,13331,13530,NaN,13737,13888,14195,14339,14442,14626,NaN,14822,14981,15187,NaN,15284,15507,15667,15777,15980,NaN,16174,16329
2489,2659.1,2810.6,2960.7,3109.7,3249.8,NaN,3435.4,3576.9,3702.7,NaN,3878.2,3979.8,NaN,4239.1,4384.7,4508.5,NaN,4693.4,4804.4,NaN,5052.9,5197,5324.7,NaN,5511.3,5616.9,NaN,5866.6,6013.9,6143.3,NaN,6326.6,6432.8,NaN,6692.8,6841,6971,NaN,7146.4,7259.7,NaN,7515.6,7658.5,7784.8,NaN,7973.8,8081.7,NaN,8340.3,8493.9,8626,8808.8,8947.1,9084.9,NaN,9315.4,9462.1,9590.9,NaN,9774.5,9881.7,NaN,10140,10288,10423,10604,10748,10851,NaN,11128,11267,11402,NaN,11581,11679,NaN,11961,12110,12244,NaN,12428,12556,NaN,12814,12968,13117,NaN,13300,13407,NaN,13681,13831,13969,14272,14407,14515,NaN,14769,14921,15064,NaN,15250,15359,15578,15740,15855,NaN,16127,16280,16414
