n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1815,2899.2,3054.1,3206.4,3338.5,NaN,3528.9,3678.1,3832.4,NaN,3981.6,4178.5,NaN,4367.8,4517.2,4741.2,NaN,4822,5010.3,5172.2,5283.2,5472,NaN,5670.5,5823.2,6008,NaN,6132.3,6338.9,NaN,6529,6678.8,6837.8,NaN,6992,7193.8,NaN,7393.2,7546.2,7761.1,7921.3,8032.7,8221.5,NaN,8449.3,8601.3,8803.6,NaN,9033.1,9209.9,9365.1,9514,9629.2,NaN,9826,10004,10532,10684,10831,10987,11131,NaN,11329,11488,11659,NaN,11804,12028,12199,12312,12509,NaN,12708,12869,13095,NaN,13179,13387,NaN,13590,13746,13976,14133,14242,14462,NaN,14657,14818,15041,NaN,15128,15338,15499,15650,15810,15948,NaN,16141,16299,16531,NaN,16621,16823,NaN,17028,17180
1845.9,2953.9,3123.2,3278.7,NaN,3478.8,3624,3762.9,NaN,3946.2,4064,NaN,4318.3,4465.6,4601.8,NaN,4787.2,4892.4,5087,5248,5369.9,NaN,5616.6,5774.1,5906.2,NaN,6096.3,6223.3,NaN,6476.9,6628.1,6765.3,NaN,6953,7084.6,NaN,7342.8,7498.4,7631.3,7845.5,7997.6,8124,NaN,8375,8551.3,8691.9,NaN,8898.9,9101.7,9287.3,9442,9593.7,NaN,9764.1,9933.1,10091,10595,10754,10909,11065,NaN,11282,11437,11579,NaN,11768,11898,12103,12277,12414,NaN,12659,12819,12957,NaN,13149,13257,NaN,13538,13696,13832,14048,14207,14323,NaN,14605,14751,14904,NaN,15095,15206,15411,15579,15736,15886,NaN,16089,16245,16387,NaN,16587,16696,NaN,16980,17130,17268
