n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1987.7,2160.8,2427.6,2594.8,2978.5,3129.8,3275.6,3426.2,3557.5,NaN,3749.5,3897.4,4110.3,NaN,4192.8,4378.3,NaN,4572.8,4725.5,4948.1,NaN,5032.4,5225.2,5378.5,5486.4,5674.4,NaN,5869.2,6017.4,6173.9,NaN,6323.7,6548.4,6697.8,6809,7001.1,NaN,7196.1,7354.4,7521.5,7695.9,7807.3,7997.6,NaN,8196.9,8352.1,8520.7,8682.4,8792.9,8987.5,NaN,9183.8,9339.1
2018.7,2204.2,2471,2646.5,3038.3,3201.8,3351,3501.3,NaN,3701,3848.7,3981.1,NaN,4155.5,4261.7,NaN,4521.6,4675,4811.4,NaN,4998,5112.9,5303.6,5448.7,5559.4,NaN,5824.7,5970.4,6104.9,NaN,6287.5,6415.2,6622.8,6774,6902,NaN,7147.8,7306.5,7437.1,7604.6,7764.3,7902,NaN,8145.4,8300,8435.1,8595.5,8757.9,8865.9,NaN,9136.2,9287.8,9420.8
