n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2001.9,2124,2285.7,2427.1,2577.3,2722.9,2849.5,NaN,3035.9,3185,3396.6,NaN,3478.2,3666.3,NaN,3857.6,4012.2,4231.8,NaN,4314.9,4514.1,NaN,4709,4997.9,5136.5,5249.4,5432.3,NaN,5627.1,5783.5,5941,NaN,6137.8,6304.9,6462.1,6612.6,6747.9,NaN,6947.1,7113
2033.6,2167.9,2349.5,2499.7,2650.8,2797.2,NaN,2991.6,3129.9,3268.2,NaN,3450,3551.5,NaN,3811.6,3949.7,4094.1,NaN,4280.8,4387.3,NaN,4658,4803.5,5066.4,5210.5,5340.7,NaN,5580.8,5723.2,5864.3,NaN,6048.9,6190.6,6378.5,6539.3,6692.9,NaN,6895.3,7039.7,7196.6
