n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2167.7,2322,2480.7,2633.2,2805.2,2973.7,3127.9,3287.1,3440,3545.5,NaN,3739.1,3888.2,4107,NaN,4187.6,4367.4,NaN,4563.7,4719.6,4938.3,NaN,5023,5213.1,NaN,5411.6,5566.4,6207.3,6350.6,6495.4,6601.9,NaN,6795.9,6947.8,7171.4,NaN,7251.9,7441.6,NaN,7642,7798.2,7934.9,8181.8,8288.9,8506.8,8839.6,8983,9137.7,9246.4,NaN,9448.7,9600.1,9779.2,9934.8,10050,10241,NaN,10439,10598,10751,NaN,10897,11103,NaN,11301,11458
2226.8,2388.2,2555.1,2701.3,2864.8,3032.8,3196.3,3362.8,3513.6,NaN,3680.9,3846,3975.8,NaN,4157.1,4266,NaN,4517.7,4668.7,4803.9,NaN,4991.7,5096.6,NaN,5365.5,5513.5,5654.6,6273.6,6425,6567.2,NaN,6740.8,6904.8,7033.6,NaN,7221.1,7328.9,NaN,7592.9,7744.1,7885.4,8117.3,8250.3,8366.8,8548.2,8909.2,9060.1,9210.8,NaN,9388.6,9554.8,9684.4,9855.2,10012,10145,NaN,10389,10535,10677,NaN,10860,10986,NaN,11252,11401,11547
