n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1987.4,2121.1,2281.2,2456.1,2664.8,3098.7,3268.8,3411.9,3560.1,3685.1,NaN,3878.4,4024.1,4160.7,NaN,4321,4506.1,NaN,4698.5,4846.5,5069.3,NaN,5149.6,5333.8,5485.7,5595.2,5777.4,NaN,5972.8,6128.7,6344.3,NaN,6425.3,6619.9,NaN,6816.1,6985.6,7139.9,7298.6,7408.9,7602,NaN,7795.1,7952.9
2032,2181.5,2344.5,2516.2,2894.7,3153.1,3331.1,3486,3636.3,NaN,3827.5,3966.7,4105.1,NaN,4285.5,4387.3,NaN,4646.9,4789.2,4933,NaN,5117.6,5221.7,5411.3,5560.2,5665.9,NaN,5923.3,6065.2,6210.8,NaN,6395.2,6493.1,NaN,6764.6,6911.7,7066.2,7218.5,7370.8,7500.1,NaN,7750.1,7899.5,8012.8
