n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
2254.1,2406.3,2607.2,2753.5,2919.1,3080,3237.2,3388.8,3504,NaN,3688.9,3837.2,3994.3,NaN,4137.8,4330.5,NaN,4527.2,4679.1,4898.8,NaN,4981.4,5173.8,NaN,5369.8,5527.9,5728.4,5885.8,5991.9,6178.4,NaN,6374.7,6534.4,6719.6,6878.3,6982.5,7172.2,NaN,7367.1,7522.6,7678.9,NaN,7836.6,8037.5,NaN,8232.4,8388.4,8587.8,8738.8,8847.4,9040.6,NaN,9237.6,9391.7,9551.6,NaN,9710.2,9903.2,10055,10160,10353,NaN,10549,10705,10968,11113,11221,11425,NaN,11622,11774,11997,NaN,12081,12282,NaN,12481,12645,12802,NaN,12953,13163,NaN,13363,13540,13773,13929,14038,14238,NaN,14435
2288.6,2441.7,2652,2815.5,2986.9,3148.6,3313.2,3457.8,NaN,3633.2,3784,3919.7,NaN,4102.3,4227,NaN,4476.1,4628.8,4764.4,NaN,4948,5053.7,NaN,5320.2,5474.6,5613.7,5807.5,5956,6070.7,NaN,6323.8,6477.9,6616.1,6800.3,6947,7053.1,NaN,7318.5,7470.2,7605.6,NaN,7793.2,7928.5,NaN,8180.8,8335.6,8473.3,8666.9,8811.6,8941,NaN,9185.4,9342.9,9475.3,NaN,9664,9805.3,9978.8,10126,10234,NaN,10503,10650,10787,11038,11183,11314,NaN,11576,11724,11860,NaN,12048,12157,NaN,12434,12592,12727,NaN,12917,13053,NaN,13311,13460,13615,13858,14003,14131,NaN,14390,14534
