n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2156.1,2295.8,2460.3,2607.8,2765.5,2920.3,3079.6,3228.8,3380.6,3526.4,NaN,3705.5,3845.8,4052.4,NaN,4170.5,4316.9,NaN,4508.2,4659.2,4871.5,NaN,4949.9,5136.5,NaN,5330,5476.8,5693.5,NaN,5784.2,5969.9,NaN,6159.5,6310.6,6508.8,NaN,6611.4,6800.2,NaN,6993.3,7142.2,7293.4,NaN,7448.6,7656.1,7804.5,7910.4,8096.8,NaN,8291.8,8442.8,8673.8,NaN,8754.3,8950.4,9098.5,9206.2,9389.9,NaN,9582.4,9733.4,9974.8,NaN,10061,10251,NaN,10444,10595,10810,NaN,10895,11098,11257,11377,11562,NaN,11758,11912,12146,NaN,12231,12431,NaN,12626,12777,13087,13227,13330,13525,NaN,13720,13883,14105,NaN,14187,14434,14578,14718,14823,NaN,15019,15170,15388,NaN,15472,15684,NaN,15879,16051,16222,16378,16485,16686,NaN,16880,17034,17194,17487,17647,17783,17914,NaN,18112,18278,18431,NaN,18589,18795,NaN,18999,19162
2199.9,2352.9,2516.8,2662.7,2824,2989.2,3155.4,3305.8,3459.8,NaN,3660.5,3804.6,3924.7,NaN,4102.5,4204.2,NaN,4463.9,4610.9,4740.3,NaN,4920.7,5022.8,NaN,5278.4,5430.1,5562.1,NaN,5745.6,5855.5,NaN,6114.1,6259.3,6393.6,NaN,6578.2,6678.8,NaN,6940.6,7093.5,7224.8,NaN,7410.9,7539,7733,7879.2,7986.7,NaN,8241.6,8396.9,8527.3,NaN,8725.9,8835.9,9031.1,9172.1,9274.6,NaN,9533.4,9686.2,9816.7,NaN,10027,10140,NaN,10397,10548,10678,NaN,10860,10977,11179,11332,11465,NaN,11708,11861,11994,NaN,12198,12312,NaN,12580,12732,12861,13149,13299,13411,NaN,13669,13819,13970,NaN,14155,14268,14498,14656,14796,NaN,14960,15122,15256,NaN,15441,15554,NaN,15833,15977,16133,16300,16451,16570,NaN,16834,16980,17118,17314,17553,17721,17862,NaN,18065,18219,18359,NaN,18552,18682,NaN,18949,19103,19246
