n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1990.1,2123,2279.7,2441.7,2585.6,2739.4,2894.4,3024.1,NaN,3207.4,3351.1,3563,NaN,3645.8,3826.6,NaN,4017.5,4161.3,4340.8,NaN,4479.7,4679,NaN,4871.6,5023.6,5227.7,5374.4,5481.7,5684.8,5839.9,5986.9,6097.4,NaN,6285.8,6436.1,6651,6798.8,6899.9,7086.7,NaN,7283.6,7433.7,7650.2,NaN,7732.8,7934.9,NaN,8120.5,8277.4,8551.3,8695.7,8800.1,8990.2,NaN,9182.5,9355.2,9570.4,NaN,9651.8,9870.5,10024,10179,10302,NaN,10498,10655,11240,11380,11516,11662,11781,NaN,11974,12127,12343,NaN,12426,12631,NaN,12825,13009
2030.6,2180,2336.1,2497.6,2652,2814.9,2969,NaN,3158.3,3299.7,3436.6,NaN,3610,3717.7,NaN,3967.8,4110.4,4242.6,NaN,4442.3,4573.2,NaN,4825.4,4969.8,5107.3,5303.2,5444,5569.5,5756.1,5917.2,6058.9,NaN,6228.7,6380.5,6519.8,6721.3,6865.9,6971.5,NaN,7230.8,7376.2,7514.6,NaN,7698.5,7801.7,NaN,8069.8,8214.7,8366.4,8619.5,8766,8869.3,NaN,9137.9,9280.4,9438.3,NaN,9618,9723.9,9937.6,10101,10256,NaN,10452,10600,10736,11302,11457,11592,11738,NaN,11926,12067,12204,NaN,12393,12498,NaN,12777,12911,13086
