n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
5843.9,6010.8,6154,6303.8,6447.8,6591.4,6729.7,6867.8,NaN,7047.5,7188.2,7402.9,NaN,7482.4,7666.2,NaN,7855.9,7999.2,8215.2,NaN,8294.2,8423.2,8898.1,9040.8,9185.2,9295.1,NaN,9482.1,9624.6,9775.4,NaN,9917,10105,NaN,10286,10436,10651,NaN,10731,10916,NaN,11105,11251,11434,NaN,11548,11737,NaN,11927,12073,12276,NaN,12373,12560,NaN,12754,12901,13075,13221,13323,13501,NaN,13694,13839,14055,NaN,14138,14343,NaN,14526,14678,14899,NaN,14978,15169,NaN,15364,15514,15727,15873,15976,16164,NaN,16359,16505,16752,NaN,16833,17026,NaN,17232,17396,17812,17949,18059,18243,NaN,18435,18583,18822,NaN,18902,19105,NaN,19300,19459
5927.5,6052.9,6219.1,6379.2,6520.3,6664.1,6803.2,NaN,7002.3,7145.2,7272.2,NaN,7452.2,7557.3,NaN,7812.7,7961,8084.6,NaN,8261.2,8360.3,8664.3,8958.7,9118.2,9259.3,NaN,9436.6,9571,9704.9,NaN,9880.2,10000,NaN,10242,10382,10518,NaN,10696,10799,NaN,11060,11199,11330,NaN,11513,11638,NaN,11878,12026,12154,NaN,12337,12442,NaN,12705,12854,12983,13155,13293,13398,NaN,13643,13794,13924,NaN,14103,14206,NaN,14481,14626,14762,NaN,14947,15049,NaN,15317,15460,15594,15802,15943,16049,NaN,16311,16443,16589,NaN,16799,16906,NaN,17177,17333,17480,17876,18022,18146,NaN,18387,18531,18666,NaN,18870,18974,NaN,19255,19399,19546
