i,r,i,r,r,i,r,e,a,b,r,n,n,a,b,r,l,r,e,e,e,e,a,b,r,n,n,e,e,r,n,l,r,n,n,a,b,r,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r
1991,2219.5,2425.2,2594.9,2798.8,3012,3180,3360.7,3485.2,3551.9,3695.1,3881.4,4017.1,4156.8,4221.4,4360.7,4544.9,4710,4903.6,5035.1,5165.9,5292.2,5413.6,5480.4,5631.2,5816.6,5958.2,6108.9,6247.8,6466.9,6664.9,6809.8,7029.2,7198.2,7341.4,7470.1,7537.7,7678.5,7884.6,8011.1,8079.4,8260.7,8337.9,8442.8,8579.3,8706,8774.7,8923.5,9112.7,9250.5,9382.6,9520.2,9586.8,9754.4
2022.4,2276.9,2465.4,2645.3,2869,3043.6,3236.7,3460.1,3531.2,3602.8,3754.2,3950.5,4085.7,4203.4,4277.1,4426.6,4600,4772,5010,5135.7,5256.4,5390.7,5464.5,5526.6,5692.3,5885,6024.8,6214,6371.2,6530.9,6734.1,6895.2,7088.6,7270.4,7411.8,7520.7,7588.5,7748.5,7983.9,8058.5,8133.2,8307.7,8392.4,8547.6,8670.1,8755.3,8824.4,8990.3,9182.1,9320.6,9448.6,9570.4,9642.4,9826.1
