l,l,i,i,r,i,i,r,r,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,l,i
1299.9,1707.1,1994.5,2215.6,2408.4,2597.6,2779.5,2953.5,3136.1,3317.8,3439.7,3510.3,3658.4,3844.1,3982.9,4120,4186.7,4327.7,4517.5,4652.1,4790.8,4857.1,5040.7,5118.4,5220.5,5355.8,5481.6,5548.6,5692.4,5879.3,6018.2,6156.8,6224.8,6392.9,6471.3,6576.2,6713.3,6832.1,6899.9,7107.2,7291.2,7432.9,7578.1,7716.8,7784.3,7960,8185.9,8379.7,8548.5,8732.5,8860.5,8928.5,9074.2,9274.8,9419.2,9564.8,9631.6,9855.1,10062,10275
1401.7,1774.9,2031.7,2254.7,2463,2633.6,2814.3,3013.9,3199.5,3418.2,3492.5,3560.5,3724.4,3915.1,4054.4,4168.3,4238.3,4400.4,4586.7,4722.2,4839.4,4910.9,5085.1,5169.3,5321.6,5453.5,5532.2,5597.9,5763.8,5952.9,6092.1,6208.1,6277.9,6428.3,6516.8,6673.3,6806.7,6883.2,6948,7170.5,7362.3,7503.8,7648.3,7766,7835.5,8030.7,8253,8420,8607,8827.7,8908.3,8981.5,9141.9,9342.7,9488.7,9609.9,9684.8,9922.9,10132,10311
