r,i,i,i,r,i,r,i,r,r,e,a,b,r,n,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r
1988,2721.8,3023.8,3753.4,3953.8,4165.1,4335.5,4545.8,4719.9,4910.6,5097.3,5228.1,5296.1,5443.1,5653.4,5819.9,6047.2,6199,6412.5,6548,6672,6741.5,6882.6,7083,7228.5,7372.7,7446.1,7632.1,7843.4,7989.2,8127.4,8271.4,8343.8,8496
2034.2,2765.7,3053.6,3797.8,4012.8,4204.2,4397.4,4592.3,4783.6,4973.9,5203.7,5280.1,5349.2,5522.2,5727.7,5902,6091.4,6257.8,6524.3,6649.1,6725.4,6795.2,6952.8,7154.7,7302.2,7428.9,7499.9,7706.1,7912.3,8061.9,8201.4,8325.6,8397.1,8575.9
