l,l,l,l,l,i,r,r,r,i,r,e,a,b,r,i,l,r,n,n,a,b,r,v,x,a,b,r,n,n,a,b,i,r,e,e,e,l,i,i,n,n,n,a,b,r,r,e,e,e,a,b,r,e,e,e,e,r,l,i,l,r,r,r,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,i,i,n,r,e,a,b,r,n,n,a,b,i,r,e,e,e,a,b
716.01,976.67,1217.9,1530.3,1755.8,1997.8,2213.6,2414.8,2609.3,2819.9,2999.6,3196.1,3329.2,3396.3,3591.8,3830.7,4038.1,4231.5,4424.9,4573,4725.7,4795.8,4946.7,5163.4,5226,5349,5416.9,5563.5,5756.3,5910.3,6049.5,6118,6313.1,6391.1,6500.3,6639.6,6776.6,7017.7,7264.9,7449.7,7635.2,7781.5,7920.5,8061.3,8136.6,8307.5,8394.6,8502.6,8643.5,8775.9,8901.9,8971.8,9120.2,9334.4,9473.6,9607.2,9736.1,9982,10189,10393,10587,10793,10969,11152,11342,11475,11546,11746,11944,12087,12240,12378,12502,12572,12797,12994,13145,13290,13360,13596,13831,14039,14204,14371,14562,14696,14767,14988,15178,15330,15471,15546,15734,15816,15926,16072,16208,16336,16407
782.15,1035,1307.4,1554.7,1832.2,2040.3,2271.4,2468.8,2661.2,2861,3056.1,3299.4,3379.6,3451.3,3657,3872.3,4117.7,4293.4,4501.4,4644.2,4776.9,4845.2,5013.9,5188.6,5261.3,5397.2,5469.4,5630.2,5828.3,5981.9,6099.6,6167.3,6354,6442.9,6604,6740.3,6897.3,7090,7310.9,7492.6,7709.8,7854.8,7992.1,8117.1,8189,8356.8,8451.5,8601.5,8744.6,8880.3,8951.3,9022.7,9189.6,9440.1,9573.6,9702.1,9872.9,10052,10253,10435,10666,10855,11027,11210,11448,11525,11595,11818,12017,12161,12344,12469,12557,12627,12866,13070,13220,13343,13413,13666,13884,14078,14280,14434,14670,14748,14820,15062,15252,15406,15527,15600,15781,15871,16023,16174,16307,16386,16457
