l,l,l,l,l,r,l,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,e,a,b,r,l,i,i,r
1004,1184.6,1358.9,1537.4,1794.1,1984.2,2188.4,2400.2,2587.5,2779.5,2918.7,3044.4,3113.8,3297.9,3499.5,3642.4,3783.1,3928.6,3995.1,4149.1,4368.5,4566.1,4730,4918.2,5048.7,5118.5,5301.3,5498.9,5634.9,5770,5842.7,5983.7,6174.6,6235.8,6360.6,6427.8,6598.7,6678.8,6785.7,6925.3,7051.9,7119.9,7310.2,7507.4,7658.2,7796.5,7869.6,8051.6,8240.7,8378.1,8515.7,8584.2,8726.6,8918.8,9107,9269.5,9442.8,9575.2,9702.7,9830.4,9900.1,10041,10240,10436,10619,10809
1057.1,1242,1418.4,1620.2,1838,2042.3,2269.4,2458.9,2645.5,2883.6,3016.2,3094.9,3162,3369.4,3575.6,3715.3,3855.6,3978.1,4046.8,4218.4,4436,4605.8,4788.7,5017.8,5098,5167.5,5372,5572.5,5709.2,5824.7,5893.9,6052.5,6208.5,6278.3,6408.4,6479,6646,6736,6891.6,7020,7099,7167.6,7385,7579.9,7731.3,7854.1,7924.3,8122.2,8314.2,8450,8566.6,8636.2,8796.1,8980.4,9150.2,9323.2,9551.4,9673.9,9805.8,9882.2,9950.8,10110,10307,10483,10661,10856
