l,l,l,r,l,l,l,l,r,r,e,a,b,r,n,n,n,n,a,b,i,r,e,e,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n
1368.8,1604.4,1794,1992,2187.1,2364.7,2543,2724.7,2896.2,3074.9,3246.9,3374.2,3442,3610.7,3797.3,3936.4,4074.1,4206.7,4352.8,4418.9,4587.2,4667.3,4770.6,4913.4,5040.9,5175.8,5315.4,5431.5,5501,5649,5835.5,5984.5,6124.8,6199.2,6349.8,6534.7,6728.4,6883.7,7057.7,7186.9,7256.2,7442.1,7643.2
1460.4,1682.9,1866.1,2049,2266.9,2446.5,2626.1,2806.9,2958.6,3138.5,3354.7,3424.1,3495.7,3679.6,3867.9,4005.2,4143.1,4277.3,4400.8,4471.4,4636.6,4722.8,4879.8,5008.7,5141.9,5278.4,5404.8,5481.7,5551.1,5719.1,5906.5,6056,6183.6,6257.4,6425.2,6605.2,6773.4,6947,7163,7243.1,7316.5,7516.3,7719.6
