l,l,r,i,i,i,r,r,l,r,e,a,b,r,n,n,a,b,r,e,a,b,r,n,n,n,a,b,r,e,a,b
2143.7,2437.2,2633,2846.8,3011,3188.3,3359.2,3531.9,3730.1,3883.1,4082.4,4211.4,4280.9,4428.5,4611.2,4743.8,4884.3,4951,5117.8,5317.9,5437.1,5502.8,5660.1,5854.8,5998.4,6131.3,6265.2,6332.2,6497,6694.5,6823.7,6889.2
2207.8,2501,2693.5,2890.2,3053.4,3227.2,3415.7,3603.3,3791,3952.2,4185.1,4264.2,4328.5,4493.4,4679.1,4815.5,4931.3,5003.8,5181.6,5407.7,5486.7,5559.6,5730.8,5928.9,6067.3,6198.5,6314.6,6385.3,6592.2,6799.2,6874.5,6941
