r,i,r,i,r,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,l,r,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,e,a,b,r,n,n,n,n,a,b,r,l,i,i,i,n,e,e,l,l,r,n,n,n,e,a,b
1988.5,2195.6,2386.7,2588.8,2755.4,2939.9,3123.1,3271.2,3410.5,3479.5,3646,3842.3,4035.5,4195.2,4370.8,4500.5,4569.3,4733.4,4934.9,5069.7,5208.5,5364.7,5502.5,5630.2,5755.2,5823,6000.3,6200.6,6340.4,6478.1,6609.3,6682.7,6852.8,6938.3,7046,7182.8,7318,7595.3,7773,7984.5,8113.9,8182.4,8373.6,8565.4,8702.7,8835.6,8907.2,9057.5,9239.9,9385,9520.9,9588.5,9754.2,9955.5,10153,10331,10517,10647,10716,10858,11056,11193,11331,11399,11580,11661,11765,11908,12032,12102,12295,12498,12624,12694,12885,13098,13240,13380,13521,13658,13729,13896,14090,14293,14492,14649,14818,14979,15119,15612,15801,16011,16183,16328,16468,16624,16764,16833
2047.9,2237.5,2447.5,2629.6,2824.3,3001.9,3199.4,3343,3463.7,3531.9,3711.8,3917.6,4079.7,4256.4,4480,4550.9,4618.9,4801.3,5008.5,5141.1,5286.1,5467.2,5603.8,5728.4,5804.2,5874.5,6071.6,6268.9,6411,6553.5,6664.7,6736,6901.8,6995.4,7152.5,7285.5,7451.7,7666.5,7841.6,8086.3,8166.1,8233.4,8442.2,8637.7,8777.2,8890.6,8959.6,9127.8,9313.9,9456.9,9571.2,9641.6,9824.3,10019,10193,10392,10620,10700,10767,10932,11131,11266,11382,11452,11624,11714,11876,12009,12081,12148,12361,12605,12674,12748,12956,13173,13314,13450,13596,13710,13780,13966,14161,14332,14532,14689,14893,15095,15262,15692,15886,16074,16258,16404,16543,16726,16817,16889
