i,l,r,i,r,i,r,r,r,e,e,a,b,r,n,l,l,r,r,n,n,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,r
1303.2,1657.1,1967.3,2243.2,2494.2,2722.2,2920.4,3122.8,3327.4,3531.1,3658.3,3783.8,3852.9,4045.1,4246,4408.6,4598.8,4795.1,4986.7,5177.2,5316.8,5463.3,5532.4,5721.7,5801.7,5911.7,6051.2,6187.1,6313.9,6383.1,6568.1,6765.1,6911,7050.6,7194.2,7263.6,7419.1
1336.8,1790.8,2019.4,2277.5,2550.3,2762.7,2978.1,3180.9,3388.7,3628.4,3752.4,3832.2,3903.1,4107.4,4313.8,4490.9,4680.4,4853,5049.8,5249.6,5387.2,5517.2,5584.3,5758.6,5859.7,6017.9,6148.1,6285.4,6365.8,6434.3,6635.6,6836.9,6983.6,7123.5,7245.6,7312.9,7487.3
