i,i,r,r,i,r,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,r,e,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,r,e,a,b,i,r,e,a,b,r,l,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,e,e,a,b,r,l,i,r,n,n,r,n,e,a,b,r,l,i,r,e,a,b
1991.7,2216.1,2426.8,2619.2,2823.6,3000.1,3210.2,3376.7,3550.8,3678.8,3748.3,3934.2,4113.8,4260.2,4395.8,4533.7,4601.8,4767.7,4849.9,4958.5,5102.3,5341.4,5547.8,5683.7,5805.4,5874.2,6072.9,6265.6,6402.6,6539.6,6681.7,6748.9,6900.1,7087.4,7151.4,7272.4,7340.6,7515.2,7595.7,7706.7,7845.1,8078.6,8288.6,8426.2,8492.9,8664.7,8870.4,9068.5,9240.4,9412.5,9544,9613.1,9763.2,9948.3,10091,10233,10373,10446,10627,10708,10815,10953,11202,11408,11539,11609,11790,11871,11980,12116,12185,12407,12612,12796,12999,13137,13271,13347,13534,13620,13727,13869,13997,14066,14249,14447,14589,14733,14890,15029,15156,15225,15430,15639,15845,16026,16211,16359,16519,16700,16863,16999,17069,17260,17475,17675,17840,18035,18167,18238
2033,2250.5,2484.2,2673.9,2863.2,3055.6,3248.6,3435.3,3649.2,3729.3,3793.4,4002,4186.4,4330.3,4464.9,4585.2,4655,4811.1,4902.5,5067.7,5247.3,5413.5,5655,5783.9,5856.4,5925.8,6142.4,6339.2,6477.7,6613.8,6731.8,6802.1,6969.9,7124.7,7186.6,7321.1,7392.9,7555,7649.6,7809.9,7980.8,8159,8390.1,8477.1,8547.3,8735,8940.6,9111.4,9303.3,9526.7,9594.2,9667.9,9834.1,10019,10164,10310,10431,10498,10677,10764,10913,11094,11280,11520,11591,11663,11840,11930,12078,12165,12234,12477,12675,12870,13070,13209,13328,13401,13584,13678,13827,13974,14047,14114,14322,14521,14663,14803,14992,15130,15208,15282,15501,15706,15887,16087,16288,16436,16583,16775,16975,17048,17121,17340,17552,17728,17903,18141,18219,18291
