l,l,l,l,i,r,i,r,i,r,i,r,r,e,a,b,r,n,n,a,b,r,l,r,n,n,a,b,r,l,i,l,r,r,n,n,a,b,r
967.29,1213.6,1433.9,1702.4,1997.2,2204.6,2430.7,2600.3,2811.9,2983.5,3186.4,3351.3,3546.2,3741.6,3875.1,3944.7,4086.8,4290.3,4436.1,4582.2,4656.2,4829.5,5036.5,5235.9,5414.3,5561.1,5702.5,5775.6,5934.1,6148.1,6353.8,6532.2,6722,6902.9,7079.9,7218.5,7351.4,7425.7,7569.2
1045.1,1323.8,1511.7,1733,2036.2,2268.3,2472.9,2662.5,2850.8,3046.8,3235.9,3414.2,3612.8,3852.1,3926.6,3995.8,4164.2,4363.7,4505,4638.8,4711.4,4898.6,5112.4,5302.3,5485.2,5634.8,5756.2,5827.7,6026.9,6217.8,6403.8,6615.4,6785.2,6963.8,7151,7288.2,7406.5,7481.3,7640.5
