l,l,l,l,l,l,l,l,r,l,r,e,e,a,b,r,n,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,l,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,e,e,e,e,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b
434.24,661.06,883.67,1097.9,1328.9,1530.5,1748.9,1933.6,2123.2,2320.4,2510.4,2702.6,2838.9,2968.4,3035.6,3226.7,3418.1,3575.2,3706.1,3774.2,3952.1,4138,4286.3,4463.3,4595.8,4720.4,4788.5,4930.7,5117.3,5257.7,5396.6,5466.3,5629.3,5826.7,5897.3,6019.9,6087,6229.6,6415.7,6603.9,6765.3,6942.7,7081.7,7213.4,7442.4,7509.6,7653.7,7831.3,7966.4,8098,8172.2,8325.3,8509.5,8698.1,8853.2,9025.3,9154.5,9222.8,9410.3,9605,9757.8,9896.8,10025,10157,10406,10606,10677,10804,10871,11043,11124,11229,11371,11496,11566,11718,11913,12052,12189,12320,12395,12537,12732,12796,12917,12989,13181,13261,13369,13509,13636,13706,13898,14085,14231,14381,14524,14597,14743,14933,15002,15119,15187,15372,15454,15562,15703,15828,15898
497.25,703.06,976.07,1169.3,1400.3,1631.3,1816.1,2007.4,2181.6,2396.7,2566.7,2800,2939.3,3016.4,3088.3,3295.8,3489.5,3683.2,3756.1,3825.3,4020.3,4205.3,4357.3,4569.1,4696.3,4772.6,4841.7,5000.7,5190.6,5329.2,5448.6,5518.2,5701.2,5872,5936.8,6067.3,6142,6299.7,6483.7,6646.5,6824,7050.9,7183.8,7359.2,7492.7,7560.9,7720.8,7902.6,8039.2,8153.6,8227.1,8401.8,8576,8739.5,8913.4,9124.8,9205.9,9274.1,9493.8,9683.3,9867.2,9993.2,10126,10312,10485,10651,10718,10853,10921,11086,11180,11339,11468,11546,11612,11787,11984,12125,12264,12377,12447,12613,12767,12841,12973,13042,13229,13319,13470,13608,13687,13759,13968,14159,14302,14454,14578,14650,14815,14968,15039,15172,15236,15416,15508,15670,15797,15880,15941
