l,i,r,l,l,r,r,r,n,n,n,e,e,a,b,r,n,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,e,e,e,e,a,b,r,n,n,l,r,l,r,i,i,n,e,e,a,b,r,r,n,n,e,e,a,b,r,i,i,i,r,n,n,a,b,i,r,e,e,a,b,r
1755.6,1997.2,2205.5,2416.3,2611.4,2804.2,2984.7,3172.1,3350.1,3496,3636.8,3790.8,3929.1,4057.7,4126.9,4313.9,4513.7,4657.2,4798,4930.9,5067.6,5136.8,5275.7,5469.5,5658.9,5817.1,5979.8,6108.1,6176.6,6325.7,6530.5,6669.7,6802.1,6938.2,7007.2,7151.3,7338.9,7481.4,7623.4,7690.6,7852.9,8049.5,8240.8,8430.5,8610.8,8730.3,8799.4,8979.5,9187,9321.4,9449,9580.8,9703.5,9772.3,9964,10147,10279,10429,10624,10867,11037,11233,11400,11559,11733,11868,11998,12067,12212,12465,12664,12807,12965,13100,13227,13297,13473,13694,13883,14074,14265,14481,14624,14761,14834,15022,15103,15211,15348,15474,15544,15688
1809.7,2037.8,2261.7,2493.6,2688.4,2865.5,3046.9,3235.2,3422.7,3568.5,3708,3899.9,4025.9,4109.4,4181.4,4377.2,4584.7,4727.3,4867.1,5002.6,5120.4,5189.2,5345.2,5529.5,5699,5872,6090.2,6157.8,6229.1,6393.8,6601.2,6741,6873.7,6988.1,7056.8,7222.1,7411.7,7554.7,7672.3,7744.3,7925.1,8112.2,8281.7,8488.8,8705.6,8779.8,8848.6,9047.6,9294,9422.5,9551.2,9680.8,9754.6,9818.7,10029,10220,10353,10505,10699,10939,11100,11275,11440,11629,11840,11974,12051,12119,12281,12535,12734,12881,13073,13209,13279,13344,13549,13743,13926,14113,14338,14553,14697,14817,14888,15067,15158,15314,15447,15524,15587,15758
