i,i,r,i,r,e,a,b,r,n,n,n,a,b,r,i,n,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,i,n,n,a,b,r,v,x,a,b,i,r,e,e,r,n,n,n,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,e,a,b
1578.1,1975.3,2193.4,2423.1,2624.4,2809.3,2934.4,3000.6,3155.3,3356.4,3496.2,3633.6,3775,3840.8,3990.2,4209.9,4377.1,4526.8,4652.1,4718.3,4883.4,5070.4,5210.7,5353.4,5418.9,5591.2,5668.9,5773.9,5908.2,6025.6,6095.9,6240.3,6430.8,6574.7,6715.3,6784.8,6976.9,7054.4,7156.7,7291.6,7420.7,7489,7632.2,7835,7999.4,8136.9,8273.3,8342.3,8497.2,8691.2,8755.4,8870.7,8937.7,9115.3,9194.6,9298.7,9434.8,9720.6,9916.5,10080,10220,10368,10435,10614,10692,10796,10932,11062,11188,11256,11452,11651,11800,11944,12013,12191,12391,12518,12587
1642.9,2046.6,2246.8,2457.2,2687.2,2911.4,2985,3052.3,3221.7,3425.2,3563.2,3702.5,3823.8,3892.2,4055.7,4248.3,4446.2,4623,4704,4771.2,4945.3,5138.5,5279.2,5401.8,5471.1,5633.6,5718.1,5878.8,6000.1,6080.5,6149.2,6309.6,6500.2,6646.1,6771.2,6837.8,7013.6,7107.5,7256.5,7392,7469.8,7538.7,7700.4,7881.1,8073.3,8208.2,8325.4,8392.3,8568.5,8729.4,8797.8,8919.7,8993.2,9167.2,9255.1,9399.8,9593.1,9791.2,9985.3,10152,10295,10417,10487,10664,10746,10901,11034,11156,11240,11307,11534,11723,11875,11996,12066,12262,12490,12570,12639
