i,r,l,r,l,r,r,i,r,r,r,e,a,b,r,i,i,n,i,r,e,e,a,b,r,n,n,n,n,a,b
1996.9,2236.4,2425.7,2662.9,2861.7,3071.8,3259.2,3472,3643.4,3839.3,4017.2,4204.4,4338.4,4408,4548,4787,4988.1,5156.7,5348.6,5521.8,5704.8,5843.7,5970.1,6039.5,6185.5,6386.3,6535.9,6677.1,6813.7,6955.3,7024.9
2036.5,2292.2,2506,2720.5,2940.5,3136.9,3314.9,3516.9,3698.4,3900.8,4078.9,4308.5,4390.1,4456.8,4640.4,4829.7,5026.6,5213.4,5389,5583.5,5808.9,5944.8,6021.7,6094,6262.8,6457.1,6609.2,6752.5,6886.1,7006.8,7075.9
