l,r,i,i,i,r,l,l,r,n,n,a,b,r,l,i,i,i,n,r,e,a,b,r,e,e,r,n,n,n,a,b,r,e,a,b,r,l,i,l,r,n,n,a,b,r,i,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n
1774.9,1989.6,2205.1,2379.5,2569.1,2735.4,2930.8,3134.2,3309.9,3478.7,3618.9,3756.3,3823.3,3964.6,4157.6,4357.1,4545.7,4699.5,4855.1,5033.1,5230.6,5363.2,5430.2,5591.5,5790.4,5927.3,6170,6352,6486.3,6627.5,6763.2,6831.6,6995.1,7197.4,7324.9,7396,7509.5,7740.5,7905,8097.2,8268.2,8445.9,8582.8,8712,8785.7,8995.2,9222.2,9393.4,9536.3,9601.7,9770,9952.2,10091,10235,10303,10477,10671,10735,10853,10920,11103,11184,11290,11429,11555,11625,11809,11988
1830.9,2047.3,2244.5,2418.8,2608.7,2790.7,3016.4,3213.2,3369,3550.1,3690.9,3806.8,3878.6,4034.2,4236.2,4397.8,4583.1,4737.9,4906.3,5105.2,5332.7,5412.2,5482.1,5658.3,5894.9,6072.2,6236.3,6425.5,6561.9,6698.8,6812.6,6881,7061.8,7304.3,7379.4,7447.9,7601.8,7796,7975.4,8172.6,8325.1,8519.5,8655.2,8767.1,8834.8,9058.2,9261,9464.1,9583.6,9655.2,9835.5,10023,10163,10278,10353,10538,10706,10770,10900,10970,11126,11233,11392,11531,11604,11670,11873,12058
