i,i,i,l,r,i,n,n,e,a,b,r,n,n,e,e,a,b,r,l,i,r,e,e,a,r,n,n,n,e,a,b,i,r,e,e,a,b,r,l,r,e,a,b,r,n,n,n,a,b,r,e,e,a,b,i,r,e,e,e,r,n,n,n,a,b,i,r,e,e,e,a,b,r,i,n,n,a,b,i,r,e,e
1994.7,2222.2,2443.3,2640.1,2814.7,3010.2,3171.7,3312.6,3460.7,3587.1,3654.3,3794.3,3985.4,4125.7,4273.2,4407.1,4533.8,4600.7,4748.6,4942.3,5124.5,5280.2,5460.3,5597.9,5821.6,6074.7,6267.4,6402.2,6537.2,6687.6,6814.9,6882.6,7056.4,7135.9,7239.1,7377.1,7502.4,7571.8,7721.7,7907.2,8085.4,8283.5,8409.7,8477.1,8630,8810.5,8952.5,9099.6,9234.2,9308.1,9473.7,9674.9,9807.9,9931,9999.2,10182,10261,10378,10507,10637,10872,11091,11239,11381,11519,11588,11754,11841,11945,12086,12222,12349,12417,12610,12844,13022,13167,13301,13374,13551,13631,13736,13887
2027.3,2263.7,2474.6,2711.2,2867,3046.7,3244.4,3378.6,3561.4,3633,3705.9,3861.1,4054.9,4194.8,4380.7,4508.9,4579.8,4653.2,4811.3,4997.3,5166.5,5336.6,5565.6,5731.5,5864.4,6143.8,6339.5,6472.2,6604.9,6787.8,6864.6,6933.8,7093.8,7187,7343.5,7475.1,7549.2,7620.4,7788.3,7962.5,8154.5,8379.4,8461.2,8526.3,8698,8881.3,9023.3,9170.5,9289.3,9358.5,9541.5,9777.3,9911,9978.7,10050,10227,10316,10469,10603,10770,10943,11163,11312,11457,11573,11641,11802,11895,12048,12189,12324,12401,12470,12678,12896,13095,13241,13356,13429,13593,13687,13846,14005
