l,i,r,r,i,r,e,a,b,r,n,n,l,r,l,r,n,n,a,b,i,r,e,e,r,e,a,b
1764.3,1997.1,2190.5,2396,2602,2775.7,2964,3086.1,3152.6,3301.3,3482.6,3627,3813.4,4001.5,4203.4,4379.2,4559.7,4705.6,4838.2,4910.5,5092.5,5170.7,5277.2,5409.7,5662.4,5867,5995.8,6062.5
1806.5,2037,2253.1,2455.3,2642.6,2835.9,3058.1,3136.5,3202.7,3369.9,3552.3,3695.5,3884.1,4081.4,4272.6,4440.1,4629.3,4775.8,4891.5,4962.9,5139.1,5230.8,5379.6,5536.7,5733,5968.5,6048.2,6117.6
