i,r,l,r,r,e,e,e,a,b,r,n,n,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,e,a,b,i,r,e,e,e,e,e,r,n,n,a,b,i,r,e,e,a,b,r,l,r,n,n,n,a,b,i,r,e,e,r,n,n,e,a,b,r,l,r,n,n,a,b,r,l,i,r,n,n,a,b
1995,2182.6,2386.9,2568.5,2752.7,2939.4,3066.6,3196.8,3425.1,3491.2,3631.7,3818.7,3959.9,4109.8,4241.3,4364.4,4431.7,4599.6,4780,4916.7,5051,5190.4,5257.5,5414.3,5609.2,5800.3,5957.3,6130.2,6261.9,6328.9,6497.7,6687.2,6818.7,6885.8,7071.9,7152.5,7255,7400,7525.1,7661.5,7790.8,8075.9,8266.6,8411.4,8553.4,8620,8800.3,8879.5,8984,9121.8,9245.7,9315,9474.5,9701.3,9885.4,10088,10228,10365,10500,10569,10738,10822,10930,11067,11324,11529,11671,11832,11964,12032,12187,12387,12568,12760,12904,13045,13113,13291,13482,13681,13847,14025,14174,14312,14381
2034.6,2236,2465.4,2630.1,2806.2,3039.2,3162.3,3343.1,3475.5,3544.9,3704.5,3892.1,4031.6,4217.6,4337.8,4417.8,4485,4665.4,4849.9,4985.6,5123.3,5239.1,5309.3,5483.6,5674.7,5835.2,6013.9,6237.1,6309.8,6379.6,6565.5,6784.8,6870.7,6936.4,7111,7208.3,7359.6,7487.5,7626,7758.5,7927.3,8142.6,8340.8,8483.6,8602.5,8672.8,8843.4,8929.9,9087.6,9223.3,9295.7,9361.7,9540.5,9764.2,9958.6,10161,10303,10438,10552,10624,10785,10874,11031,11194,11393,11600,11744,11944,12016,12087,12254,12451,12631,12836,12976,13096,13170,13360,13542,13723,13908,14102,14247,14366,14436
