l,l,l,i,i,r,l,r,r,r,e,e,e,e,a,b,r,n,n,n,a,b,r
1175.3,1404.6,1629.4,1996.9,2277.8,2473.5,2668.9,2862,3050.5,3244,3435.7,3574.3,3699.9,3827.7,3952.5,4019.3,4168.1,4375.8,4519.9,4667.8,4817.8,4885.4,5049.5
1221.2,1464.2,1693.6,2038.8,2321,2532.4,2747.8,2920.5,3110.6,3300,3544,3676.2,3795,3928,4002.8,4073.9,4243.4,4443.8,4588.2,4740.3,4866.5,4938.9,5123.2
