l,l,r,l,r,l,l,r,r,i,i,i,r,e,a,b,r,n,n,n,a,b,i,r,e,a,b,r,v,x,a,b,r,n,n,a,b,i,r,e,e,e,r,n,n,n,n,a,b,i,r,e,e,l,r,n,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,e,a,b,r,n,n,e,e,a,e,e,a,b
1534.7,1767.3,1966.7,2146.1,2330.7,2515,2697.8,2879.7,3061.7,3234.3,3400.3,3568.3,3724.4,3899.4,4029.8,4097.3,4242.3,4426.5,4565.9,4703.1,4839.6,4907.8,5082.4,5159.2,5265.5,5399.2,5467.6,5610.8,5803.9,5873.9,5988.3,6056.2,6200,6389.9,6526.4,6661.5,6733.8,6892.8,6977.5,7080.2,7218.3,7349.1,7631.9,7828.2,7975.8,8120.8,8256,8385,8458.9,8620,8702.8,8807.2,8948.2,9207.2,9388.2,9578.5,9717.7,9852.9,9994.8,10130,10199,10370,10450,10556,10693,10818,10887,11056,11242,11388,11529,11676,11744,11917,12003,12112,12248,12318,12474,12661,12802,12949,13016,13164,13357,13418,13550,13618,13794,13876,13984,14121,14245,14314,14514,14701,14855,14996,15150,15282,15353,15500,15697,15851,16014,16152,16286,16478,16604,16728,16797
1620,1826.8,2018.2,2221.6,2387.7,2593,2779,2940.7,3118.5,3273.7,3440.2,3607.5,3781.1,4000.8,4078.9,4152.7,4309.9,4497.2,4634.8,4772.3,4888.8,4957.1,5128.7,5216.4,5364.1,5447.9,5516.1,5679.2,5844.7,5910.8,6035.4,6106.3,6273.9,6460.4,6596.6,6715.3,6785.7,6942.2,7033.5,7188.4,7314.8,7514.5,7700.3,7899.8,8047.7,8192.2,8329.5,8440.2,8510.3,8673.7,8760.8,8916.7,9079.6,9275.4,9459.2,9651.3,9790.4,9925.4,10067,10180,10250,10411,10500,10658,10785,10868,10936,11147,11314,11461,11601,11726,11797,11966,12061,12212,12295,12368,12542,12734,12874,12998,13067,13232,13388,13461,13600,13673,13839,13933,14085,14216,14296,14362,14578,14775,14929,15069,15251,15335,15404,15574,15766,15924,16124,16254,16341,16572,16696,16779,16850
