i,i,i,r,r,n,n,i,r,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,r,i,i,e,r,n,n,a,b,r,l,i,i,i,i,r,n,n,a,b,r
1994.6,2183.6,2345.5,2502.8,2671.3,2858.8,3007,3186.3,3358.8,3531,3663.1,3731.9,3876.2,4069.2,4210.2,4347.4,4488.5,4555.8,4715.1,4900.2,4973.2,5079.8,5150.8,5320.2,5401.7,5506.9,5646.9,5771.3,5838.2,6009.7,6195.2,6414.6,6604.5,6763.6,6935.1,7127.8,7323.9,7462.4,7600.7,7669.8,7830,8020.1,8207.4,8402.6,8565,8731.3,8903.5,9118.4,9258.9,9404,9472.4,9666.5
2032.8,2225.2,2383.5,2541.6,2743,2927.4,3071.6,3226.4,3416.6,3629.5,3714,3781.7,3944,4138.1,4282.3,4420.9,4537.2,4605,4778,4938.3,4998.1,5133.5,5200.6,5371.7,5451.4,5609.6,5740.1,5819.7,5885.4,6088.2,6258.1,6466.6,6641.8,6806.5,7003.1,7198.2,7395.2,7534.6,7651,7724.4,7905.3,8089.5,8257.9,8441.5,8603.3,8789.7,8987.2,9190.7,9330.7,9456.1,9524.9,9742.8
