l,l,l,r,l,r,e,a,b,r,n,n,n,a,b,r,r,n,e,e,a,b,r,n,n,a,b,r,i,r,e,a,b,r,n,n,a,b,r
1268.6,1500.2,1767.2,1994.7,2190.3,2396.4,2591.1,2718.5,2789.5,2944.8,3141.2,3283.3,3430.8,3575.2,3645.4,3788.4,4003.9,4182.6,4332.8,4464.7,4591.1,4658.5,4851.3,5061.7,5215.1,5363,5435.7,5589.4,5826,5993.3,6175.3,6306.7,6374.1,6522.1,6714.3,6856.8,7007.2,7073.4,7213.2
1321.3,1550.7,1802.6,2048.6,2265.6,2447.4,2693.7,2771.2,2844.4,3007.3,3208.9,3348.6,3497.2,3629,3698.9,3856.1,4054.3,4254.1,4437.5,4573.2,4643,4711.3,4922.5,5133.1,5288.3,5418.7,5492.5,5657.2,5865.3,6053.1,6278,6356.3,6430.4,6594.1,6786,6927.1,7056.9,7129.4,7284.2
