i,i,r,r,i,r,r,e,e,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,i,r,e,e,e,r,n,n,n,a,b,r,l,i,l,i,r,r,e,a,b,r,n,n,a,b,i,r,e,e,r,l,i,r,e,a,b,r,n,n,a,b,i,r,e,e,e,l,r,n,n,n,a,b,r,e,a,b,r,l,r,n,n,n,e,e,a,b,r,i,l,r,n,n,a,b,i,r,e,e,e,e,a,b,r
1781.8,1993.9,2179,2363.2,2556.1,2719.6,2897.3,3073.8,3209.2,3337.6,3468.4,3591.8,3660,3806.7,3994.4,4127.8,4259.3,4332.2,4490,4682.5,4821.8,4959.7,5025.2,5174,5357.6,5425.3,5536.5,5609.2,5753.5,5939.9,6086,6222.1,6349.4,6422.6,6570,6668.3,6775.1,6915.1,7045.7,7286,7492,7631,7762.8,7901.2,7970.1,8140.5,8326.2,8519.9,8699.8,8913.1,9071.8,9243.9,9424.5,9558,9627.5,9784.7,9976.6,10115,10253,10326,10503,10587,10694,10842,11116,11314,11503,11667,11844,11974,12043,12187,12378,12522,12651,12726,12956,13034,13140,13279,13410,13659,13843,14067,14210,14353,14497,14564,14745,14963,15092,15162,15387,15598,15805,15975,16121,16276,16457,16597,16726,16800,16951,17181,17383,17577,17764,17908,18056,18126,18309,18396,18503,18644,18778,18917,19043,19113,19291
1823.8,2036.6,2235.1,2419.2,2594.9,2772.6,2950.3,3177.4,3305.4,3443.8,3566.1,3642.2,3713.8,3879.9,4065.6,4199.5,4315.9,4390,4559.3,4752.9,4893.6,5009.8,5077.8,5234.7,5400.4,5462.3,5590.4,5663,5821.3,6011,6156.1,6293.2,6404.5,6472.7,6631.4,6723.7,6872.2,7012.3,7176.3,7354.4,7564.3,7701.7,7834.8,7950.9,8022.7,8209.6,8391.2,8561.9,8783.9,8956.3,9132.7,9306.8,9536.7,9611.3,9679.8,9866.6,10050,10186,10308,10380,10554,10648,10800,10957,11187,11379,11544,11730,11949,12024,12098,12263,12454,12598,12711,12784,13004,13092,13248,13383,13541,13727,13917,14142,14282,14423,14545,14615,14817,15069,15143,15215,15460,15662,15869,16048,16198,16347,16566,16707,16787,16853,17033,17231,17462,17641,17840,17982,18110,18177,18363,18450,18609,18739,18884,19019,19097,19163,19362
