r,i,r,r,i,r,e,a,b,r,n,n,a,b,r,e,e,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,i,i,e,e,r,n,n,a,b,i,r,e,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,l,i,i,n,n,a,b,i,r,e,a,b,r,l,e,a,b,r,l,i,i,n,n,l,r,e,a,b,r,n,n,e,a,b
1978.8,2191.6,2380.2,2579.7,2774.5,2961.2,3147.6,3265.9,3332.5,3485.8,3665.6,3813.1,3951.1,4021.5,4167.6,4370.2,4498.5,4627.6,4694.2,4835.1,5041.1,5233.4,5396.7,5569.6,5700.7,5768.2,5943.7,6146.8,6282.8,6421.6,6558.7,6625.3,6768.9,6959.5,7148.4,7301.6,7480.8,7611.9,7678.1,7827.3,8020.3,8162.1,8306,8374,8549.5,8629.6,8735.5,8872.9,9197.3,9393,9529.4,9665,9739.2,9916.5,9997.8,10104,10239,10374,10504,10628,10696,10884,11071,11208,11351,11488,11559,11737,11819,11928,12068,12202,12327,12397,12551,12757,12952,13149,13306,13454,13604,13671,13847,13926,14033,14165,14235,14403,14617,14796,14929,14999,15164,15377,15579,15805,15983,16143,16298,16492,16704,16834,16903,17115,17328,17481,17645,17778,17848
2030.4,2231.9,2436.3,2635.7,2813.8,3020.5,3242.5,3316.6,3383.6,3550.1,3735.4,3882.6,4005.8,4072.9,4233.9,4470.3,4591.8,4678.6,4747.1,4905.7,5109.7,5274.3,5457.4,5675.8,5750.1,5821.2,6010.6,6217.6,6354.5,6492.7,6607.7,6678.9,6841.2,7021.9,7189.5,7357.7,7585.6,7661.3,7731.5,7895.4,8090.1,8235.1,8356.9,8429.1,8596.8,8687.1,8833.1,9022.6,9267.9,9464.9,9602.3,9721.2,9795.4,9960.3,10052,10201,10332,10470,10592,10679,10748,10950,11146,11282,11426,11542,11616,11783,11878,12028,12167,12296,12378,12442,12627,12812,12995,13188,13373,13526,13654,13727,13892,13984,14141,14218,14283,14472,14663,14904,14982,15052,15235,15448,15632,15847,16058,16214,16371,16570,16812,16886,16954,17187,17400,17558,17755,17831,17906
