l,l,i,i,r,l,r,r,e,a,b,r,n,n,n,a,b,r,n,e,a,b,r,i,i,i,i,i,r,i,i,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,n,a,b,i,r,e,e,e,e
1802.7,1981.6,2276.3,2461.7,2623.2,2808.2,2977.6,3151.5,3327.8,3455.5,3526.4,3693.3,3884,4025.1,4165.9,4300.7,4368.7,4505.9,4693,4839.1,4969.2,5038,5183.5,5473.2,5649.2,5826.8,6010.8,6178,6349.3,6538.6,6729.2,6868.5,7046.3,7181.5,7249.6,7410.6,7595.3,7730.8,7869.3,7936.9,8081.2,8272.4,8337.9,8454.8,8521.7,8691.3,8770.8,8878.4,9016.6,9142.9,9212.1,9374,9562.6,9721.9,9870,10006,10142,10210,10378,10457,10564,10718,10855,10981
1837.5,2053.4,2317.2,2501.2,2682.7,2889,3041.5,3212.8,3437.4,3511.3,3582.9,3764.9,3953.9,4095,4236.5,4350.9,4423.4,4577.7,4764.1,4942.7,5021.8,5089.9,5261.7,5514.3,5692,5862.7,6050.7,6213.7,6401.6,6580.2,6772.7,6933.1,7164.5,7234.6,7305,7483.3,7665.7,7800.4,7919.7,7990.3,8154.8,8307.8,8372.8,8503.1,8573.1,8736.6,8829.5,8983,9119.3,9193,9260.6,9445.3,9634.7,9796.6,9941.9,10077,10191,10263,10424,10515,10667,10809,10956,11064
