i,l,r,i,r,i,r,e,e,e,e,a,b,r,n,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,e,r,v,x,a,b,i,r,e,e,e,e,a,b,r,n,n,e,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,n,l
1567.7,1778,1971,2169.4,2326.1,2515.1,2677.4,2846.3,2977.2,3104.9,3233.8,3350.9,3418.2,3556.4,3731.6,3873.9,4007.3,4147.3,4286.9,4353.2,4494.6,4685.4,4873.2,5031.1,5203.1,5334.4,5401.6,5574.1,5755.4,5893.5,6027.8,6094.8,6234.7,6416.3,6479.4,6598.2,6664.1,6811.4,7008.6,7141.4,7371.8,7564.5,7626.8,7742.6,7813.1,7987.8,8064.2,8171.4,8305.1,8433.9,8562.1,8685.7,8752.4,8893.8,9078.9,9219.2,9361.3,9487.5,9554.8,9724.6,9806.2,9909.8,10049,10172,10241,10440,10629,10768,10911,10978,11198,11400,11592,11778,11957,12135
1611.9,1835.1,2025.6,2209,2383.4,2558.8,2739.1,2946.3,3073.2,3203.7,3329.9,3401.2,3469,3622.6,3802,3943.5,4075.8,4219.1,4337.4,4407.9,4572.4,4751.5,4915.9,5092.2,5307.2,5383.7,5447.3,5641.1,5826.8,5963,6078.7,6147.8,6308.1,6453.5,6516.8,6645,6712.6,6885.2,7115.9,7289.9,7454.7,7603.3,7665.9,7796.8,7866.9,8028.9,8120.9,8272.2,8399,8532.1,8654.9,8734.9,8803.9,8961.9,9148.9,9286.9,9466.9,9538.1,9605,9769.6,9855.7,10015,10146,10225,10284,10505,10701,10839,10963,11032,11267,11462,11631,11816,12031,12213
