l,r,i,i,i,r,l,r,r,n,n,a,b,r,l,i,l,r,n,n,n,n,a,b,r,n,r,n,r,n,l,l,l,r,l,r,r,r,e,a,b
1699.8,1990.7,2205,2380.2,2577.6,2746.3,2959.2,3168.6,3350.8,3532.4,3676.8,3820.7,3888.9,4036.5,4243.6,4436,4610.2,4792.2,4983.5,5128.4,5269.8,5413.8,5566.2,5634.8,5800.3,6010.2,6189.4,6378.6,6546.9,6720.6,6884.9,7066.6,7260.4,7448.6,7641.5,7830.2,8025.8,8212.8,8391.6,8520.6,8590.7
1766.5,2049.8,2244.8,2425.1,2614.8,2808.8,3041.8,3231.4,3410.6,3606.7,3748.8,3869.4,3938.6,4104.5,4306.4,4476.8,4690.3,4851.6,5059.7,5202.8,5339.8,5485.7,5617.8,5688.5,5872.2,6082,6263,6449.3,6607.3,6791.1,6962.8,7153.7,7341.7,7513.7,7723.4,7890.5,8087.5,8271.6,8499,8575.5,8643.2
