l,i,r,l,r,r,r,r,n,n,n,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,n,n,a,b,i,r,e,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,e,e,a,b,r,v,x,a,b,i,i,e,e,a,b,r,l,r,n,n,a,b,r,i,e,e,e,a,b,r,i,i,i,i,n,n,a,b,r,v,x,a,b,r,r,e,e,a,b,r
1495.2,1732,1989.8,2184.7,2372.1,2568,2759.1,2945.9,3132.1,3288.1,3430.4,3572.2,3639.6,3815,4015.6,4167.9,4312.6,4456.7,4525.9,4699.3,4779.2,4885.2,5024.4,5152.9,5274.2,5343.7,5483,5678,5813.2,5952.1,6025.9,6191.3,6273.2,6377.9,6515.6,6647.9,6781.9,6909.2,6980,7132.6,7338.9,7485.2,7626.9,7757.5,7844,8006.6,8087.5,8193,8334.9,8462.1,8531.9,8676.6,8903.2,9038.1,9162.7,9233.3,9384.7,9578,9643.4,9764.6,9832.2,10015,10099,10203,10341,10468,10538,10722,10920,11102,11288,11428,11556,11632,11812,11896,12005,12142,12276,12404,12474,12620,12866,13075,13246,13424,13599,13749,13885,13960,14099,14287,14350,14467,14541,14710,14796,14904,15045,15180,15250,15416
1518.2,1772,2042.7,2259.2,2433.2,2631.2,2820.4,3008.4,3204.5,3359.5,3498,3621.1,3692.5,3881.3,4084.4,4242.3,4390.8,4506.5,4576.7,4744.9,4831.2,4987.2,5122.2,5251.2,5325,5391.4,5553.3,5745.9,5885.8,6006.8,6078,6235.5,6326.8,6481.5,6616.2,6750.4,6882.7,6959.3,7027,7199.5,7407.4,7555,7697.2,7809.8,7877.4,8048.5,8141.4,8295.3,8436.1,8514.4,8576.5,8744.7,9013.5,9141.1,9214.3,9282.4,9454.6,9611.4,9677.1,9814.2,9882.8,10058,10149,10305,10442,10520,10583,10793,10980,11178,11359,11499,11613,11684,11863,11953,12108,12244,12373,12456,12525,12688,12917,13122,13286,13470,13673,13820,13943,14010,14167,14326,14391,14524,14598,14765,14858,15012,15147,15230,15302,15487
