i,i,r,i,r,l,r,r,r,n,n,n,a,b,r,l,r,e,e,e,a,b,r,i,i,n,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,i,n,n,n,a,b,r,r,e,e,a,b,r,i,n,n,n,n,n,n,a,b,r,l
1996.4,2218.1,2409,2626.7,2800.2,2988.7,3194.8,3382.4,3570.9,3765.7,3916.7,4050.7,4192,4260.9,4413.8,4612.8,4795.8,5018.2,5154.5,5288.5,5416.3,5485.8,5666.2,5877.7,6048.4,6226.8,6387.3,6519,6589.5,6752,6954.2,7104.4,7244.1,7396.2,7463.7,7651.1,7732.1,7841.8,7982.2,8108.8,8177.2,8384.8,8602.3,8816.9,8996,9150.7,9292.4,9418,9488.2,9684.1,9880.6,10023,10158,10228,10414,10502,10609,10751,10881,10951,11160,11380,11570,11748,11941,12127,12278,12422,12579,12647,12817,12903,13015,13153,13282,13354,13551,13598,13748,13894,14037,14174,14315,14463,14612,14680,14860,15070
2041.1,2260,2475.5,2671.3,2857.7,3072.8,3254.9,3441.9,3642.6,3835.7,3989,4125.6,4240.7,4312,4486.5,4680.9,4861.9,5119.2,5250.9,5390.5,5467.1,5537.1,5732.9,5919.2,6088.3,6301.3,6492.4,6573.2,6642.7,6825.4,7027.2,7175.6,7319.2,7445.3,7514.6,7695.1,7789,7945.7,8086.6,8157,8229.1,8454.8,8675.8,8876.1,9069.8,9257.1,9396.1,9473,9537.4,9753.8,9953.9,10099,10213,10283,10468,10559,10714,10854,10930,11002,11232,11443,11611,11789,11991,12198,12352,12494,12630,12701,12870,12962,13123,13256,13339,13406,13597,13623,13823,13974,14111,14253,14389,14538,14662,14732,14930,15133
