l,l,r,l,r,l,r,r,e,a,b,r,n,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,r,v,x,a,b,i,r,e,e,e,a,b,r,l,r,n,e,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,l
1609.6,1807.5,1996.9,2186,2362.6,2548.4,2718.9,2896,3068.4,3195.1,3263.9,3411.2,3593.1,3740.4,3891.5,4030.5,4157.9,4223.7,4377,4560.6,4704.7,4846,4914,5087,5170.6,5276.7,5414.1,5538.8,5606.4,5775.4,5971.8,6147.3,6346.9,6409.4,6521.9,6591.3,6754.3,6836.9,6940.1,7075,7202.9,7327.7,7395.9,7533.5,7714.6,7885.1,8078.6,8225.3,8352.3,8420.6,8589.6,8674.4,8781.7,8922.7,9059.2,9183,9251.7,9446.6,9639.2,9780.1,9916.8,10052,10124,10298,10498,10636,10771,10906,10975,11122,11343
1649.3,1874.8,2057.2,2267,2417.5,2627.8,2781.7,2958.5,3166.4,3247.9,3319.4,3483.6,3665.6,3813.3,3991.4,4132.9,4209.3,4280.4,4443.2,4625.5,4773.4,4897.6,4963.1,5127.7,5221.9,5377.2,5512.5,5585.3,5657,5841.8,6019.3,6218.8,6382.6,6445.6,6573.6,6639,6793.9,6886.5,7046.4,7177.5,7300.4,7380.2,7443.8,7603.4,7770.1,7952.1,8150.6,8322,8405.4,8475.6,8637.3,8719.3,8888.9,9023.5,9157.2,9234.3,9300.7,9516.4,9711,9853.3,9988.4,10106,10173,10371,10568,10709,10846,10960,11029,11194,11407
