i,r,i,r,i,r,i,i,i,r,r,e,a,b,r,n,n,n,a,b,r,e,e,a,b,i,r,e,e,r,n,a,b,r,v,x,a,b,r,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e
1993,2248.8,2456.7,2626.2,2837.8,3012.1,3188.4,3380.8,3551.8,3721.2,3907.5,4087,4214.2,4281.6,4443.8,4629.6,4770.5,4905.2,5042.4,5109.9,5250.7,5450.8,5581.8,5707,5774.3,5958.6,6037.3,6142.6,6278.3,6501.7,6699.9,6848.8,6914,7055.7,7246.4,7311,7416.6,7489,7660.1,7887,8020.2,8151.5,8273,8341.5,8499.5,8705.5,8848.4,8983.9,9114,9185.8,9351.9,9436.2,9541.3,9676.6
2034.1,2306.8,2490.2,2683.2,2876.1,3065.8,3225.5,3414.1,3587.3,3774.5,3965.2,4189.4,4264.2,4331.4,4514.9,4700.2,4845.1,4974.6,5094.6,5163.4,5316.7,5554.1,5682.6,5758.1,5826.4,5995.2,6088.3,6238.9,6396,6564.9,6768.5,6895.8,6965.6,7126.7,7283.9,7344.6,7470.6,7539,7731.4,7996.2,8125.6,8254,8327.4,8392.7,8567.1,8776.2,8920.3,9058.3,9172.1,9241.9,9402.4,9495.3,9638.3,9828.8
