l,r,l,r,i,i,e,a,b,r,n,l,r,r,e,e,a,b,r,n,n,n,a,b,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,e,e,a,b,r,n,l,l,i,i,r,r,r,r,e,a,b,r,n,n,a,b,r,e,e,a,b,r,e,a,b,r,e,a,b,r,n,l
1745.3,1964.4,2154.5,2329.8,2524.8,2711.7,2901.6,3021.6,3089.1,3249.2,3435.2,3610.9,3804.2,3983.8,4167.2,4305.9,4425.4,4494.4,4672.4,4866.2,5006.3,5139.7,5289.3,5354.2,5540.8,5620.6,5734.2,5856.8,5925,6119.8,6302.3,6449.1,6591.3,6736,6802.4,6976.2,7053.6,7159.6,7305.3,7437,7560.2,7687.8,7755.6,7942.2,8144.9,8295.4,8483.2,8699.7,8886.8,9053.5,9221.3,9397.2,9585,9761.6,9890.3,9959.4,10130,10316,10456,10596,10664,10839,11036,11173,11296,11369,11571,11775,11902,11972,12117,12325,12454,12522,12684,12870,13060
1799.5,2020.1,2226.9,2386.8,2571.6,2766.6,2995.8,3069.6,3137.9,3315,3503.5,3694.6,3864,4042,4269.4,4398.2,4476.4,4545,4738.7,4934.5,5078,5209.3,5336.3,5404.8,5588.1,5678.6,5822.5,5907.7,5977.8,6193.2,6372.8,6523,6664.7,6783.1,6860,7018.8,7110.2,7260.3,7393.7,7528.3,7664.6,7737.6,7804.9,8009.6,8216.4,8380.7,8572.6,8744.6,8929.4,9095.7,9286.3,9461.1,9645.2,9869,9937.8,10012,10197,10388,10528,10646,10716,10909,11145,11276,11352,11426,11648,11874,11952,12022,12185,12428,12504,12573,12770,12943,13130
