i,r,i,r,r,e,a,b,r,n,n,n,n,n,a,b,r,l,r,n,a,b,r,n,n,a,b,r,n,e,a,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,i,r,e,e,a,b,r,l,r,n,n,a,b,r,n,n,a,b,r,n,n,n,n,n,a,b,r,l,r,n,n,a,b,r,l,i,r,n,n,l,r,e,a,b,i,r,e,e
1998,2188.4,2386.5,2558.3,2742.5,2919,3049.7,3114.8,3256.8,3438.8,3580.6,3718,3849.9,3985.9,4118.2,4189.1,4340.6,4543.2,4709.5,4908.6,5060.1,5129.1,5266.4,5454.5,5592.6,5729.4,5794.5,5929.8,6112.8,6265.9,6404.4,6632.7,6832.3,6895.8,7014.2,7079.4,7253.4,7331.8,7435.7,7570.2,7695.7,7764.7,7907.2,8094.3,8227.4,8378.2,8513.8,8580.9,8720.8,8918.7,9112.2,9273.8,9454.3,9581.6,9649.6,9823.8,9902.1,10007,10144,10276,10398,10467,10625,10824,10963,11092,11166,11335,11533,11736,11897,12077,12211,12278,12453,12530,12638,12776,12902,12971,13175,13387,13577,13775,13926,14067,14143,14297,14521,14661,14797,14867,15016,15222,15371,15505,15653,15797,15945,16014,16192,16402,16588,16802,16954,17097,17165,17344,17553,17745,17921,18108,18251,18418,18609,18826,18957,19026,19209,19290,19394,19542
2039.3,2241.9,2425.2,2612.8,2796.8,3021.1,3096.8,3167.5,3326.4,3506.5,3649.2,3786,3920.2,4054.3,4174.4,4244.5,4408.1,4606.8,4785.4,4978.8,5115.6,5182.7,5335.7,5523,5661.2,5778.8,5846.8,5999,6185.3,6369.3,6459.4,6706.2,6869.1,6933,7062.7,7131.5,7299.2,7389.4,7540.6,7668.7,7745.9,7810.2,7976.3,8162.6,8301,8447.9,8566.8,8633.5,8789.6,8980.8,9152.8,9331.8,9560.7,9632.7,9703.5,9866.3,9956.2,10101,10239,10372,10449,10516,10695,10893,11035,11150,11221,11411,11598,11775,11960,12181,12262,12332,12495,12589,12741,12875,12952,13015,13244,13428,13651,13847,13998,14125,14194,14402,14590,14732,14850,14919,15085,15292,15442,15578,15724,15870,15996,16065,16265,16468,16661,16875,17029,17147,17218,17414,17620,17786,17984,18180,18327,18492,18687,18932,19009,19083,19249,19343,19498,19641
