i,l,i,i,i,n,r,v,x,a,b,r,l,i,i,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1997.6,2174.3,2380.4,2555.1,2724,2871.9,3030,3220.2,3289.7,3401.6,3468,3610.2,3790.3,3971.4,4154.2,4302.5,4478,4655,4785.9,4853.7,5011.2,5191.4,5336.1,5461.7,5536.7,5704.8,5784.7,5891.2,6028,6151.9,6221.9,6397,6596.8,6730.2,6857.4,6982.1,7054,7250.7,7442.3,7579.4,7720.8,7793.3,7935.9,8141.2,8341,8520.3,8694.2,8827.4,8895.2,9060.7,9267.2,9416.2,9559,9710.9,9778.7,9948.9,10034,10143,10280,10413,10482
2037.2,2252.2,2421.2,2598.2,2767.2,2941.7,3104.6,3262.2,3323.7,3444,3521.8,3680.1,3849.8,4010.8,4195.1,4347.4,4543.8,4756,4836.3,4903.8,5079.3,5262.8,5407.6,5517.6,5587.4,5749.7,5845.1,5996.2,6123.1,6203.5,6269.7,6465.6,6703.8,6832.8,6959,7036.7,7104,7319.4,7513.8,7652.4,7776.2,7844.5,8012.9,8210.4,8381.4,8584.1,8802.4,8878.3,8950.4,9143.1,9336.6,9489.6,9630.8,9760.4,9836.4,10000,10096,10240,10381,10463,10531
