l,l,l,i,r,r,i,n,n,n,a,b,r,e,a,b,r,n,n,e,e,e,e,a,b,r,i,i,r,n,n,a,b,i,r,e,e,e,a,b,r,n
1275.7,1482.7,1744.8,1997.7,2191.8,2408.9,2630.9,2793.6,2943.5,3081.1,3218.2,3286.4,3447.8,3671.9,3802,3869.9,4017.1,4222.6,4367.8,4515.9,4655.2,4788.4,4919.9,5047.4,5115,5272,5505.9,5715.6,5885.3,6069.1,6229.2,6391.8,6459.8,6665.6,6747,6855.6,6998,7129.1,7253,7323.1,7486.7,7687.4
1321.3,1545.8,1793.4,2039,2252.7,2466.1,2673.5,2864.8,3013.1,3147.8,3268.5,3340.2,3515.2,3775.6,3854.2,3924,4086,4290,4439.3,4625.5,4760.1,4891.4,5018.8,5099.5,5164.7,5341.2,5548.1,5753.8,5944.8,6143.1,6304.3,6441,6513.8,6712.2,6806.4,6964.4,7095.8,7229.7,7305.5,7371.5,7553.4,7756.8
